"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"__","Group_sub",0.293092740997481,1,"IBS_before_poor","Wilcoxon rank sum exact test","IBS_before_poor vs IBS_after_poor",1.06256559870493,0.0875519104314257
"s__","Group_sub",0.719269475133886,1,"IBS_after_poor","Wilcoxon rank sum exact test","IBS_before_poor vs IBS_after_poor",0.923507193726033,-0.114804895658586
"s__dolichum","Group_sub",0.961132169398719,1,"IBS_after_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",0.56140350877193,-0.832890014164742
"s__ramosum","Group_sub",0.933682424088421,1,"IBS_before_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",1.5390625,0.622051819456376
"s__prausnitzii","Group_sub",0.555266454954515,1,"IBS_after_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",0.839378950261061,-0.252605810761421
"s__gnavus","Group_sub",0.260603114798266,1,"IBS_before_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",3.40906062624917,1.76937425638935
"s__distasonis","Group_sub",0.90681892610682,1,"IBS_after_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",0.975814931650894,-0.0353205357329913
"s__formicilis","Group_sub",0.987240700711091,1,"IBS_after_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",0.823962776269872,-0.279348931876787
"s__spiroforme","Group_sub",0.35360918951154,1,"IBS_before_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",2.13636363636364,1.09515723304034
"s__mucilaginosa","Group_sub",0.279181572619453,1,"IBS_after_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",0.657418576598311,-0.605115871831462
"s__lenta","Group_sub",0.796745417751998,1,"IBS_after_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",0.912568306010929,-0.13199554580999
"s__helveticus","Group_sub",0.252604081961836,1,"IBS_before_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",2.27810650887574,1.18783519930008
"s__moorei","Group_sub",0.407338973993136,1,"IBS_after_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",0.5,-1
"s__copri","Group_sub",0.32195740860405,1,"IBS_after_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",0.745806451612903,-0.423126817660921
"s__muciniphila","Group_sub",0.121692488201624,1,"IBS_after_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",0.228168185827698,-2.13183044852071
"s__ovatus","Group_sub",0.139681775999897,1,"IBS_before_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",2.44652128764278,1.290731835987
"s__fragilis","Group_sub",0.428437005484721,1,"IBS_before_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",3.70926517571885,1.89113340993295
"s__longicatena","Group_sub",0.229123635506178,1,"IBS_before_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",2.65680473372781,1.40969219845896
