"feature","J_XYL_F_0001_01","J_XYL_F_0001_02","J_XYL_F_0002_01","J_XYL_F_0002_02","J_XYL_F_0003_01","J_XYL_F_0003_02","J_XYL_F_0004_01","J_XYL_F_0004_02","J_XYL_F_0005_01","J_XYL_F_0005_02","J_XYL_F_0006_01","J_XYL_F_0006_02","J_XYL_F_0010_01","J_XYL_F_0010_02","J_XYL_F_0012_01","J_XYL_F_0012_02","J_XYL_F_0013_01","J_XYL_F_0013_02","J_XYL_F_0015_01","J_XYL_F_0015_02","J_XYL_F_0016_01","J_XYL_F_0016_02","J_XYL_F_0018_01","J_XYL_F_0018_02","J_XYL_F_0020_01","J_XYL_F_0020_02","J_XYL_F_0025_01","J_XYL_F_0025_02","J_XYL_F_0031_01","J_XYL_F_0031_02","J_XYL_F_0032_01","J_XYL_F_0032_02","J_XYL_F_0034_01","J_XYL_F_0034_02","J_XYL_F_0036_01","J_XYL_F_0036_02","J_XYL_F_0043_01","J_XYL_F_0043_2","J_XYL_F_0044_01","J_XYL_F_0044_02","J_XYL_F_0045_01","J_XYL_F_0045_2","J_XYL_F_0046_01","J_XYL_F_0046_02","J_XYL_F_0047_01","J_XYL_F_0047_02","J_XYL_F_0048_01","J_XYL_F_0049_02","J_XYL_F_0050_01","J_XYL_F_0050_02","J_XYL_F_0051_01","J_XYL_F_0051_02","J_XYL_F_0053_01","J_XYL_F_0053_02","J_XYL_F_0057_01","J_XYL_F_0057_02","J_XYL_F_0058_01","J_XYL_F_0058_02","J_XYL_F_0059_01","J_XYL_F_0059_02","J_XYL_F_0060_01","J_XYL_F_0060_02","J_XYL_F_0061_01","J_XYL_F_0061_02","J_XYL_F_0062_01","J_XYL_F_0062_02","J_XYL_F_0064_01","J_XYL_F_0064_02","J_XYL_F_0065_01","J_XYL_F_0065_02","J_XYL_F_0066_01","J_XYL_F_0066_02","K_XYL_F_0001_01","K_XYL_F_0001_02","K_XYL_F_0002_01","K_XYL_F_0002_02","K_XYL_F_0003_01","K_XYL_F_0003_02","K_XYL_F_0004_01","K_XYL_F_0004_02","K_XYL_F_0005_01","K_XYL_F_0005_02","K_XYL_F_0007_01","K_XYL_F_0007_02","K_XYL_F_0008_01","K_XYL_F_0008_02","K_XYL_F_0009_01","K_XYL_F_0009_02","K_XYL_F_0011_01","K_XYL_F_0011_02","K_XYL_F_0012_01","K_XYL_F_0012_02","K_XYL_F_0013_01","K_XYL_F_0013_02","K_XYL_F_0017_01","K_XYL_F_0017_02","K_XYL_F_0018_01","K_XYL_F_0018_02","K_XYL_F_0022_01","K_XYL_F_0022_02","K_XYL_F_0028_01","K_XYL_F_0028_02","K_XYL_F_0030_02","K_XYL_F_0030_03","K_XYL_F_0033_01","K_XYL_F_0033_02","K_XYL_F_0035_01","K_XYL_F_0035_02","K_XYL_F_0036_01","K_XYL_F_0036_02","K_XYL_F_0037_01","K_XYL_F_0037_02","K_XYL_F_0038_01","K_XYL_F_0038_02","K_XYL_F_0039_01","K_XYL_F_0039_02","K_XYL_F_0042_01","K_XYL_F_0042_02","K_XYL_F_0043_01","K_XYL_F_0043_02","K_XYL_F_0044_01","K_XYL_F_0044_02","K_XYL_F_0045_01","K_XYL_F_0045_02","K_XYL_F_0046_01","K_XYL_F_0046_02","K_XYL_F_0047_01","K_XYL_F_0047_02","K_XYL_F_0048_01","K_XYL_F_0048_02"
"__",3646,9911,1619,2050,1601,2108,1406,1434,934,3373,1807,1467,3324,1738,1980,1045,1930,2220,2990,1212,3456,1869,2285,206,1761,2589,3078,4058,1757,1991,1474,2209,3725,8014,2641,1394,3067,1470,2480,3186,9474,14760,1809,3911,5394,3032,9102,3569,9043,1337,8958,531,2595,1416,3744,3043,6527,2213,1670,2410,2540,2078,900,735,1534,1510,11416,5687,2777,2159,2711,1615,4272,4612,12306,4577,808,9382,5207,10234,1164,716,3753,3125,2239,4010,887,2606,1863,1071,1682,1212,4331,1441,2706,4610,1573,2531,866,1396,970,611,817,442,695,1309,1615,3378,2710,996,819,657,3069,1958,1998,7031,866,766,1802,595,856,1014,2631,2074,2256,2371,1605,2065,3925,1736
"s__",1357,4297,3646,5821,3233,3265,4848,4537,3091,3551,4683,1884,5342,8024,1978,1245,4941,8359,2212,1719,1849,2537,5811,1308,6250,1886,2279,3985,8244,5768,2058,4115,4523,2713,3235,1925,6148,1793,4662,3252,1234,1360,3939,4646,4863,4133,1134,3384,2257,0,2751,3611,5033,3311,1875,3333,2122,3872,4163,4762,2712,7630,6024,3254,5529,5419,2802,1877,5843,5138,1545,3646,2214,14980,2229,8063,1627,1939,2373,4947,1779,7411,3524,4148,2432,1678,2450,4504,3273,4311,5168,2845,1197,3385,8151,4438,4153,3375,4907,2281,2341,3799,1659,10852,5974,7203,4612,3464,4386,5291,1519,2603,6381,13505,5801,1421,3321,2158,8157,10566,7703,8059,3607,6322,3052,6851,4433,4439,2277,2393
"s__dolichum",0,0,0,0,0,7,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,185,0,0,0,0,0,0,0,12,14,0,0,0,0,0,4,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,8,0,0,10,0,0,10,0,0,0,0,33,127,0,7,0,0,16,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,139,60,0,0,0,14,0,19,0,3,0,0,0,0,0,0,0,0,0,49,0,0,23,0,0,0,0,0,0,0,0,4,0,0,0,0
"s__ramosum",0,5,0,0,0,0,0,0,0,0,0,0,0,0,132,0,8,0,0,50,0,94,0,0,13,0,0,0,0,0,114,0,0,0,0,0,7,0,0,0,0,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,143,9,0,0,124,78,83,164,0,0,0,0,0,0,0,114,0,0,60,0,5,0,0,55,0,263,0,0,0,0,0,0,0,0,0,0,0,36,133,54,0,0,338,39,134,139,83,0,0,0,0,0,112,0,7,43,0,63,0,0,0,0,121,89,0,0,0,0,0,2,0,120,0,142
"s__prausnitzii",0,73,542,321,814,639,439,162,292,558,68,0,278,373,221,218,137,0,0,81,980,106,796,249,1120,433,615,687,498,197,402,445,719,941,501,185,763,1176,0,0,257,86,642,645,122,629,46,744,0,0,0,240,514,381,0,1706,0,374,830,1258,0,0,0,0,240,160,125,382,972,515,242,88,0,0,207,49,0,214,112,0,112,67,369,1948,489,298,621,584,457,261,464,615,0,171,239,0,93,0,55,1276,0,0,2043,0,279,263,1512,783,491,1369,346,528,66,338,127,90,1075,161,251,165,514,1109,1797,307,2179,377,277,1335,127,0
"s__gnavus",144,197,0,118,0,0,0,49,0,0,0,0,111,0,712,68,77,0,79,140,223,484,55,0,0,0,0,107,305,145,599,158,0,62,0,0,341,0,724,109,103,65,39,112,125,125,64,207,732,287,802,0,63,0,396,127,1067,135,0,0,1159,262,552,691,138,0,77,0,0,0,560,204,308,0,109,124,202,321,145,628,36,309,238,428,114,0,0,0,37,0,0,55,31,138,282,180,0,225,202,101,2492,135,291,104,0,0,108,37,383,222,127,89,1263,118,76,0,0,0,25,97,0,0,55,233,0,339,189,177,221,700
"s__distasonis",17,0,6,97,88,21,13,229,98,212,0,0,104,156,116,56,59,14,23,46,66,0,0,52,35,0,0,0,0,0,63,99,0,0,112,0,53,0,58,0,0,118,161,244,75,31,0,152,0,0,27,57,242,276,0,0,154,67,0,48,0,73,111,10,144,27,0,0,0,186,0,0,24,0,0,0,0,0,0,0,142,187,0,0,28,33,8,137,86,120,42,152,0,0,162,161,0,0,0,0,0,18,21,736,180,0,183,41,169,53,0,0,0,151,0,0,119,16,0,0,414,30,34,116,21,72,0,240,0,0
"s__formicilis",0,23,92,288,436,195,348,199,157,402,0,0,207,358,0,0,116,0,45,35,84,0,302,0,276,54,110,650,0,0,271,597,213,35,197,216,190,254,0,0,0,0,244,472,144,486,0,404,0,0,0,137,132,79,0,108,0,28,195,429,8,0,0,0,248,131,134,185,45,101,0,0,0,0,0,0,0,0,0,0,0,0,185,0,79,272,86,244,110,0,222,138,0,0,34,0,0,0,0,0,0,0,0,0,83,32,122,181,170,0,0,29,0,126,0,0,48,112,0,0,0,105,340,147,245,0,205,315,0,94
"s__spiroforme",0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,8,0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,26,22,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,135,0,222,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0
"s__mucilaginosa",0,0,27,0,0,59,92,140,0,0,0,39,0,0,0,0,0,0,0,0,13,29,25,0,0,198,21,0,32,0,2,67,114,0,37,135,26,0,0,163,0,0,104,35,46,0,19,0,65,0,0,0,77,15,0,14,124,152,51,93,0,83,0,121,108,16,99,23,0,0,0,0,72,0,52,0,0,0,0,0,107,78,0,95,0,0,0,18,31,262,0,0,0,0,19,25,44,0,141,0,194,0,22,182,122,32,26,0,65,0,32,42,22,0,210,0,88,9,84,19,0,0,26,15,0,17,0,40,38,14
