,CA1,CA2,TA1,TA2,CB1,CB2,TB1,TB2,CC1,CC2,TC1,TC2
Gene0001,16,7,17,20,3,11,28,31,11,8,31,14
Gene0002,114,197,187,569,123,92,410,432,255,55,383,437
Gene0003,69,52,260,205,75,54,231,195,73,83,134,204
Gene0004,143,109,324,395,122,75,360,529,90,95,209,185
Gene0005,33,60,65,142,39,12,149,42,20,33,174,103
Gene0006,46,59,156,330,127,59,266,247,70,67,143,315
Gene0007,103,107,374,166,165,201,386,344,159,72,174,230
Gene0008,33,78,325,438,78,106,294,367,84,110,227,319
Gene0009,549,239,828,888,501,410,963,564,457,488,529,493
Gene0010,183,95,284,297,169,39,233,533,67,150,366,436
Gene0011,78,96,203,145,60,58,97,135,159,156,123,118
Gene0012,13,13,82,67,21,24,76,83,15,23,89,37
Gene0013,52,36,52,89,64,47,85,126,37,24,43,32
Gene0014,39,37,222,169,64,54,117,151,31,56,174,165
Gene0015,72,163,348,295,46,133,532,317,167,76,244,374
Gene0016,48,25,57,89,29,38,29,72,31,13,52,13
Gene0017,81,65,75,214,60,46,158,248,47,46,134,201
Gene0018,267,572,212,473,161,151,195,584,229,124,183,129
Gene0019,21,83,81,114,47,46,66,74,40,41,114,55
Gene0020,23,15,64,76,15,53,72,35,30,17,45,79
Gene0021,23,21,64,108,35,40,81,79,23,20,50,60
Gene0022,157,174,574,541,380,237,431,1271,238,349,236,683
Gene0023,348,617,663,992,689,512,1590,965,107,271,545,996
Gene0024,31,4,69,46,45,37,76,106,34,23,24,50
Gene0025,209,265,304,840,227,364,553,318,74,142,498,722
Gene0026,26,61,144,185,59,74,192,139,90,97,279,143
Gene0027,65,38,78,67,31,45,98,91,47,65,62,50
Gene0028,65,48,117,69,34,72,74,155,68,85,56,128
Gene0029,30,29,45,69,21,37,77,48,15,18,13,46
Gene0030,217,169,511,360,252,321,436,670,230,261,280,530
Gene0031,320,166,800,1378,592,514,702,451,524,279,656,543
Gene0032,115,95,315,157,124,159,161,176,212,64,526,189
Gene0033,13,13,23,22,13,10,17,20,11,2,19,30
Gene0034,123,73,369,160,69,229,352,322,50,55,329,326
Gene0035,57,40,165,174,58,41,174,183,41,47,188,117
Gene0036,78,52,151,88,67,109,261,119,69,30,302,203
Gene0037,63,65,171,58,141,124,117,199,62,39,84,48
Gene0038,73,60,160,137,67,76,248,134,58,42,135,215
Gene0039,21,12,59,25,7,21,47,61,10,12,58,31
Gene0040,53,51,230,162,73,37,133,167,47,37,86,191
Gene0041,40,54,106,93,51,52,109,82,44,20,134,45
Gene0042,91,75,370,254,150,154,335,280,64,66,224,317
Gene0043,613,926,3324,4288,2092,1552,4654,4770,829,1123,2967,2567
