gene_id,gene_symbol,biotype,truth_log2FC_for_instructor
Gene0001,Gene0001,protein_coding,1.374
Gene0002,Gene0002,protein_coding,1.37
Gene0003,Gene0003,protein_coding,1.373
Gene0004,Gene0004,protein_coding,1.281
Gene0005,Gene0005,protein_coding,1.755
Gene0006,Gene0006,protein_coding,2.198
Gene0007,Gene0007,protein_coding,0.842
Gene0008,Gene0008,protein_coding,1.635
Gene0009,Gene0009,protein_coding,0.971
Gene0010,Gene0010,protein_coding,1.529
Gene0011,Gene0011,protein_coding,1.162
Gene0012,Gene0012,protein_coding,1.613
Gene0013,Gene0013,protein_coding,1.41
Gene0014,Gene0014,protein_coding,1.533
Gene0015,Gene0015,protein_coding,1.877
Gene0016,Gene0016,protein_coding,1.265
Gene0017,Gene0017,protein_coding,1.431
Gene0018,Gene0018,protein_coding,0.732
Gene0019,Gene0019,protein_coding,1.025
Gene0020,Gene0020,protein_coding,1.612
Gene0021,Gene0021,protein_coding,1.212
Gene0022,Gene0022,protein_coding,1.209
Gene0023,Gene0023,protein_coding,1.117
Gene0024,Gene0024,protein_coding,1.064
Gene0025,Gene0025,protein_coding,1.395
Gene0026,Gene0026,protein_coding,1.54
Gene0027,Gene0027,protein_coding,0.783
Gene0028,Gene0028,protein_coding,0.99
Gene0029,Gene0029,protein_coding,1.187
Gene0030,Gene0030,protein_coding,1.423
Gene0031,Gene0031,protein_coding,1.084
Gene0032,Gene0032,protein_coding,1.014
Gene0033,Gene0033,protein_coding,1.322
Gene0034,Gene0034,protein_coding,1.318
Gene0035,Gene0035,protein_coding,1.546
Gene0036,Gene0036,protein_coding,1.322
Gene0037,Gene0037,protein_coding,0.958
Gene0038,Gene0038,protein_coding,1.43
Gene0039,Gene0039,protein_coding,1.518
Gene0040,Gene0040,protein_coding,1.621
Gene0041,Gene0041,protein_coding,1.211
Gene0042,Gene0042,protein_coding,1.807
Gene0043,Gene0043,protein_coding,1.864
Gene0044,Gene0044,protein_coding,1.227
Gene0045,Gene0045,protein_coding,0.95
Gene0046,Gene0046,protein_coding,1.415
Gene0047,Gene0047,protein_coding,1.256
Gene0048,Gene0048,protein_coding,1.386
Gene0049,Gene0049,protein_coding,1.51
Gene0050,Gene0050,protein_coding,1.429
Gene0051,Gene0051,protein_coding,1.247
Gene0052,Gene0052,protein_coding,1.343
Gene0053,Gene0053,protein_coding,1.365
Gene0054,Gene0054,protein_coding,1.706
Gene0055,Gene0055,protein_coding,1.153
Gene0056,Gene0056,protein_coding,1.244
Gene0057,Gene0057,protein_coding,1.452
Gene0058,Gene0058,protein_coding,1.305
Gene0059,Gene0059,protein_coding,1.424
Gene0060,Gene0060,protein_coding,1.209
Gene0061,Gene0061,protein_coding,-1.286
Gene0062,Gene0062,protein_coding,-1.111
Gene0063,Gene0063,protein_coding,-1.165
Gene0064,Gene0064,protein_coding,-1.647
Gene0065,Gene0065,protein_coding,-1.151
Gene0066,Gene0066,protein_coding,-1.334
Gene0067,Gene0067,protein_coding,-1.237
Gene0068,Gene0068,protein_coding,-1.427
Gene0069,Gene0069,protein_coding,-1.424
Gene0070,Gene0070,protein_coding,-0.972
Gene0071,Gene0071,protein_coding,-0.934
Gene0072,Gene0072,protein_coding,-1.398
Gene0073,Gene0073,protein_coding,-1.593
Gene0074,Gene0074,protein_coding,-1.262
Gene0075,Gene0075,protein_coding,-1.088
Gene0076,Gene0076,protein_coding,-1.39
Gene0077,Gene0077,protein_coding,-0.755
Gene0078,Gene0078,protein_coding,-1.7
Gene0079,Gene0079,protein_coding,-1.488
Gene0080,Gene0080,protein_coding,-1.404
Gene0081,Gene0081,protein_coding,-1.255
Gene0082,Gene0082,protein_coding,-1.127
Gene0083,Gene0083,protein_coding,-1.102
Gene0084,Gene0084,protein_coding,-1.096
Gene0085,Gene0085,protein_coding,-1.305
Gene0086,Gene0086,protein_coding,-1.304
Gene0087,Gene0087,protein_coding,-1.177
Gene0088,Gene0088,protein_coding,-1.57
Gene0089,Gene0089,protein_coding,-1.23
Gene0090,Gene0090,protein_coding,-1.084
Gene0091,Gene0091,protein_coding,-1.217
Gene0092,Gene0092,protein_coding,-1.317
Gene0093,Gene0093,protein_coding,-1.134
Gene0094,Gene0094,protein_coding,-1.159
Gene0095,Gene0095,protein_coding,-1.236
Gene0096,Gene0096,protein_coding,-1.046
Gene0097,Gene0097,protein_coding,-1.536
Gene0098,Gene0098,protein_coding,-1.241
Gene0099,Gene0099,protein_coding,-1.157
Gene0100,Gene0100,protein_coding,-1.56
Gene0101,Gene0101,protein_coding,0.0
Gene0102,Gene0102,protein_coding,0.0
Gene0103,Gene0103,protein_coding,0.0
Gene0104,Gene0104,protein_coding,0.0
Gene0105,Gene0105,protein_coding,0.0
Gene0106,Gene0106,protein_coding,0.0
Gene0107,Gene0107,protein_coding,0.0
Gene0108,Gene0108,protein_coding,0.0
Gene0109,Gene0109,protein_coding,0.0
Gene0110,Gene0110,protein_coding,0.0
Gene0111,Gene0111,protein_coding,0.0
Gene0112,Gene0112,protein_coding,0.0
Gene0113,Gene0113,protein_coding,0.0
Gene0114,Gene0114,protein_coding,0.0
Gene0115,Gene0115,protein_coding,0.0
Gene0116,Gene0116,protein_coding,0.0
Gene0117,Gene0117,protein_coding,0.0
Gene0118,Gene0118,protein_coding,0.0
Gene0119,Gene0119,protein_coding,0.0
Gene0120,Gene0120,protein_coding,0.0
Gene0121,Gene0121,protein_coding,0.0
Gene0122,Gene0122,protein_coding,0.0
Gene0123,Gene0123,protein_coding,0.0
Gene0124,Gene0124,protein_coding,0.0
Gene0125,Gene0125,protein_coding,0.0
Gene0126,Gene0126,protein_coding,0.0
Gene0127,Gene0127,protein_coding,0.0
Gene0128,Gene0128,protein_coding,0.0
Gene0129,Gene0129,protein_coding,0.0
Gene0130,Gene0130,protein_coding,0.0
Gene0131,Gene0131,protein_coding,0.0
Gene0132,Gene0132,protein_coding,0.0
Gene0133,Gene0133,protein_coding,0.0
Gene0134,Gene0134,protein_coding,0.0
Gene0135,Gene0135,protein_coding,0.0
Gene0136,Gene0136,protein_coding,0.0
Gene0137,Gene0137,protein_coding,0.0
Gene0138,Gene0138,protein_coding,0.0
Gene0139,Gene0139,protein_coding,0.0
Gene0140,Gene0140,protein_coding,0.0
Gene0141,Gene0141,protein_coding,0.0
Gene0142,Gene0142,protein_coding,0.0
Gene0143,Gene0143,protein_coding,0.0
Gene0144,Gene0144,protein_coding,0.0
Gene0145,Gene0145,protein_coding,0.0
Gene0146,Gene0146,protein_coding,0.0
Gene0147,Gene0147,protein_coding,0.0
Gene0148,Gene0148,protein_coding,0.0
Gene0149,Gene0149,protein_coding,0.0
Gene0150,Gene0150,protein_coding,0.0
Gene0151,Gene0151,protein_coding,0.0
Gene0152,Gene0152,protein_coding,0.0
Gene0153,Gene0153,protein_coding,0.0
Gene0154,Gene0154,protein_coding,0.0
Gene0155,Gene0155,protein_coding,0.0
Gene0156,Gene0156,protein_coding,0.0
Gene0157,Gene0157,protein_coding,0.0
Gene0158,Gene0158,protein_coding,0.0
Gene0159,Gene0159,protein_coding,0.0
Gene0160,Gene0160,protein_coding,0.0
Gene0161,Gene0161,protein_coding,0.0
Gene0162,Gene0162,protein_coding,0.0
Gene0163,Gene0163,protein_coding,0.0
Gene0164,Gene0164,protein_coding,0.0
Gene0165,Gene0165,protein_coding,0.0
Gene0166,Gene0166,protein_coding,0.0
Gene0167,Gene0167,protein_coding,0.0
Gene0168,Gene0168,protein_coding,0.0
Gene0169,Gene0169,protein_coding,0.0
Gene0170,Gene0170,protein_coding,0.0
Gene0171,Gene0171,protein_coding,0.0
Gene0172,Gene0172,protein_coding,0.0
Gene0173,Gene0173,protein_coding,0.0
Gene0174,Gene0174,protein_coding,0.0
Gene0175,Gene0175,protein_coding,0.0
Gene0176,Gene0176,protein_coding,0.0
Gene0177,Gene0177,protein_coding,0.0
Gene0178,Gene0178,protein_coding,0.0
Gene0179,Gene0179,protein_coding,0.0
Gene0180,Gene0180,protein_coding,0.0
Gene0181,Gene0181,protein_coding,0.0
Gene0182,Gene0182,protein_coding,0.0
Gene0183,Gene0183,protein_coding,0.0
Gene0184,Gene0184,protein_coding,0.0
Gene0185,Gene0185,protein_coding,0.0
Gene0186,Gene0186,protein_coding,0.0
Gene0187,Gene0187,protein_coding,0.0
Gene0188,Gene0188,protein_coding,0.0
Gene0189,Gene0189,protein_coding,0.0
Gene0190,Gene0190,protein_coding,0.0
Gene0191,Gene0191,protein_coding,0.0
Gene0192,Gene0192,protein_coding,0.0
Gene0193,Gene0193,protein_coding,0.0
Gene0194,Gene0194,protein_coding,0.0
Gene0195,Gene0195,protein_coding,0.0
Gene0196,Gene0196,protein_coding,0.0
Gene0197,Gene0197,protein_coding,0.0
Gene0198,Gene0198,protein_coding,0.0
Gene0199,Gene0199,protein_coding,0.0
Gene0200,Gene0200,protein_coding,0.0
Gene0201,Gene0201,protein_coding,0.0
Gene0202,Gene0202,protein_coding,0.0
Gene0203,Gene0203,protein_coding,0.0
Gene0204,Gene0204,protein_coding,0.0
Gene0205,Gene0205,protein_coding,0.0
Gene0206,Gene0206,protein_coding,0.0
Gene0207,Gene0207,protein_coding,0.0
Gene0208,Gene0208,protein_coding,0.0
Gene0209,Gene0209,protein_coding,0.0
Gene0210,Gene0210,protein_coding,0.0
Gene0211,Gene0211,protein_coding,0.0
Gene0212,Gene0212,protein_coding,0.0
Gene0213,Gene0213,protein_coding,0.0
Gene0214,Gene0214,protein_coding,0.0
Gene0215,Gene0215,protein_coding,0.0
Gene0216,Gene0216,protein_coding,0.0
Gene0217,Gene0217,protein_coding,0.0
Gene0218,Gene0218,protein_coding,0.0
Gene0219,Gene0219,protein_coding,0.0
Gene0220,Gene0220,protein_coding,0.0
Gene0221,Gene0221,protein_coding,0.0
Gene0222,Gene0222,protein_coding,0.0
Gene0223,Gene0223,protein_coding,0.0
Gene0224,Gene0224,protein_coding,0.0
Gene0225,Gene0225,protein_coding,0.0
Gene0226,Gene0226,protein_coding,0.0
Gene0227,Gene0227,protein_coding,0.0
Gene0228,Gene0228,protein_coding,0.0
Gene0229,Gene0229,protein_coding,0.0
Gene0230,Gene0230,protein_coding,0.0
Gene0231,Gene0231,protein_coding,0.0
Gene0232,Gene0232,protein_coding,0.0
Gene0233,Gene0233,protein_coding,0.0
Gene0234,Gene0234,protein_coding,0.0
Gene0235,Gene0235,protein_coding,0.0
Gene0236,Gene0236,protein_coding,0.0
Gene0237,Gene0237,protein_coding,0.0
Gene0238,Gene0238,protein_coding,0.0
Gene0239,Gene0239,protein_coding,0.0
Gene0240,Gene0240,protein_coding,0.0
Gene0241,Gene0241,protein_coding,0.0
Gene0242,Gene0242,protein_coding,0.0
Gene0243,Gene0243,protein_coding,0.0
Gene0244,Gene0244,protein_coding,0.0
Gene0245,Gene0245,protein_coding,0.0
Gene0246,Gene0246,protein_coding,0.0
Gene0247,Gene0247,protein_coding,0.0
Gene0248,Gene0248,protein_coding,0.0
Gene0249,Gene0249,protein_coding,0.0
Gene0250,Gene0250,protein_coding,0.0
Gene0251,Gene0251,protein_coding,0.0
Gene0252,Gene0252,protein_coding,0.0
Gene0253,Gene0253,protein_coding,0.0
Gene0254,Gene0254,protein_coding,0.0
Gene0255,Gene0255,protein_coding,0.0
Gene0256,Gene0256,protein_coding,0.0
Gene0257,Gene0257,protein_coding,0.0
Gene0258,Gene0258,protein_coding,0.0
Gene0259,Gene0259,protein_coding,0.0
Gene0260,Gene0260,protein_coding,0.0
Gene0261,Gene0261,protein_coding,0.0
Gene0262,Gene0262,protein_coding,0.0
Gene0263,Gene0263,protein_coding,0.0
Gene0264,Gene0264,protein_coding,0.0
Gene0265,Gene0265,protein_coding,0.0
Gene0266,Gene0266,protein_coding,0.0
