"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant","direction"
"Gene0035",103.879723813235,1.73708326462592,0.247424068089792,1.32530493285555e-13,1.31072657859414e-10,TRUE,"Up in treated"
"Gene0043",2367.90689202682,1.64180677393708,0.25051989476308,2.11336736089863e-12,1.04506015996437e-09,TRUE,"Up in treated"
"Gene0008",198.889283599712,1.93337234607259,0.300217701752396,3.28653884161595e-12,1.08346230478606e-09,TRUE,"Up in treated"
"Gene0014",104.205482146885,1.73453898274619,0.280533070477844,2.27345671203798e-11,4.76222570249697e-09,TRUE,"Up in treated"
"Gene0054",93.9571070011269,1.62109412169042,0.260455505400134,2.40759641177804e-11,4.76222570249697e-09,TRUE,"Up in treated"
"Gene0012",43.7387801409843,1.89956368178105,0.315387458976632,8.51268112114458e-11,1.403173604802e-08,TRUE,"Up in treated"
"Gene0042",191.323640139709,1.56207618355508,0.262944849662806,1.08858808490212e-10,1.53801945138314e-08,TRUE,"Up in treated"
"Gene0003",132.372729409403,1.49873528785088,0.258999463753962,3.55523748601271e-10,4.39516234208321e-08,TRUE,"Up in treated"
"Gene0098",160.199863191009,-1.62120216692325,0.283891051082544,4.61827766564506e-10,4.56747661132297e-08,TRUE,"Down in treated"
"Gene0100",37.2821933361027,-1.89987994891242,0.329259620280448,4.28392816090189e-10,4.56747661132297e-08,TRUE,"Down in treated"
"Gene0004",210.278191366396,1.49460932490032,0.268320897661206,1.08740645088063e-09,9.77677254473587e-08,TRUE,"Up in treated"
"Gene0040",102.615129112221,1.58487318974003,0.290516984191479,2.73242922241845e-09,2.2519770841432e-07,TRUE,"Up in treated"
"Gene0006",152.378197850743,1.683665766093,0.313080755764424,3.58754989178465e-09,2.72929757151924e-07,TRUE,"Up in treated"
"Gene0049",233.563747448898,1.57251587910654,0.298448819010941,5.22132323984852e-09,3.68849191729299e-07,TRUE,"Up in treated"
"Gene0062",153.999950606302,-1.39271212121392,0.277540703368912,2.22248281742929e-08,1.46535700429171e-06,TRUE,"Down in treated"
"Gene0038",113.540957424668,1.35100731353467,0.271801529470211,3.80778899614075e-08,2.3536895732395e-06,TRUE,"Up in treated"
