"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"0610005C13Rik","Group",0.220094620881518,0.48901160993259,"T4400","DESeq2","DMSO vs T4400",0.592777203202692,-0.75443812878685
"0610007P14Rik","Group",0.958560480332715,0.980784191364886,"DMSO","DESeq2","DMSO vs T4400",1.00274713795953,0.00395784841870566
"0610009B22Rik","Group",0.42264552754116,0.685469522358423,"T4400","DESeq2","DMSO vs T4400",0.960074884192273,-0.0587811569291413
"0610009L18Rik","Group",0.153933479205623,0.395441255718016,"T4400","DESeq2","DMSO vs T4400",0.74611532437333,-0.422529454966345
"0610009O20Rik","Group",0.123223657981596,0.34569878399424,"DMSO","DESeq2","DMSO vs T4400",1.0781040150337,0.108496375431888
"0610010F05Rik","Group",0.242553237966321,0.517700243102997,"T4400","DESeq2","DMSO vs T4400",0.884414822559952,-0.17720489034094
"0610010K14Rik","Group",0.270361852676868,0.548281927303191,"DMSO","DESeq2","DMSO vs T4400",1.05855746537154,0.082099590324431
"0610011F06Rik","Group",0.108996094497203,0.321784276865685,"DMSO","DESeq2","DMSO vs T4400",1.11686524499025,0.159455128424554
"0610012G03Rik","Group",0.67737383958906,0.854349925068681,"T4400","DESeq2","DMSO vs T4400",0.972043188708548,-0.0409076794601922
"0610030E20Rik","Group",0.970077040296572,0.985176985381535,"T4400","DESeq2","DMSO vs T4400",0.997553109544074,-0.00353444268903837
"0610037L13Rik","Group",0.114185512126099,0.331039208771114,"DMSO","DESeq2","DMSO vs T4400",1.09955462871764,0.136919282794232
"0610038B21Rik","Group",0.607409799637821,0.814907208785625,"T4400","DESeq2","DMSO vs T4400",0.848428877447484,-0.237134369066902
"0610039K10Rik","Group",0.365123914534274,0.636035549519223,"DMSO","DESeq2","DMSO vs T4400",2.69924421569961,1.43255551138782
"0610040B10Rik","Group",0.975534319423938,0.988094087922324,"DMSO","DESeq2","DMSO vs T4400",1.00885634422435,0.012720756971353
"0610040F04Rik","Group",0.431811648277719,0.691280815997802,"DMSO","DESeq2","DMSO vs T4400",3.0533631673853,1.61039919407329
"0610040J01Rik","Group",0.171576355603701,0.422585744799754,"T4400","DESeq2","DMSO vs T4400",0.202401244966092,-2.30470993083892
"0610043K17Rik","Group",0.220746573416139,0.48987555697712,"T4400","DESeq2","DMSO vs T4400",0.413014961783703,-1.27573404956183
"1010001N08Rik","Group",0.282380867659615,0.560447258009258,"DMSO","DESeq2","DMSO vs T4400",2.8279506046184,1.49975692103329
"1110001J03Rik","Group",0.0401124161269826,0.174452052177485,"DMSO","DESeq2","DMSO vs T4400",1.22417756735729,0.291812836597329
"1110002L01Rik","Group",0.720289061910791,0.875835287325426,"DMSO","DESeq2","DMSO vs T4400",1.04720253667591,0.06654049709148
