"feature","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"Mmp13","Mmp13",59.5126790544369,5.22991392950862,1.35834460134921,3.85021144436683,0.000118015896617955,0.00379589600104752,"Up"
"Ccl3","Ccl3",31.3151710360163,5.1193723417203,0.910549596554225,5.62228829829088,1.88444430356966e-08,2.31392629166504e-05,"Up"
"Try5","Try5",143.532599399474,5.05204040872164,1.32795191943872,3.80438503440468,0.000142156915426579,0.00417222805321904,"Up"
"Clec4e","Clec4e",16.3886905783222,4.87513037508349,1.16691711348151,4.17778633868731,2.94359971395916e-05,0.00178025617897559,"Up"
"Kng1","Kng1",226.885340356174,4.39594595374468,1.07618896308478,4.08473428415786,4.4127283682647e-05,0.00220750822482042,"Up"
"Saa3","Saa3",9296.36615651081,3.86714200500112,1.18075936064233,3.27513135521315,0.0010561285410764,0.014307843302983,"Up"
"Hp","Hp",935.223023975983,3.71428054115311,1.05468233138502,3.52170547531168,0.00042878023171932,0.00804379804143452,"Up"
"Car6","Car6",93.4040966645854,3.51236268211294,0.931487031034297,3.77070486769194,0.000162787101409314,0.00456175389779171,"Up"
"Lcn2","Lcn2",539.894513378587,3.51128917437483,0.851328077113631,4.12448416629182,3.71566551089736e-05,0.00200749976222763,"Up"
"Tnxb","Tnxb",11.4727204441455,3.40365015765299,0.936679257945137,3.63374135680108,0.000279340893084621,0.00631563337185171,"Up"
"Serpinb2","Serpinb2",137.870518575686,3.40189884222149,0.783740447232192,4.34059369302098,1.42098262351474e-05,0.00124141447767656,"Up"
"S100a8","S100a8",18.0135665041555,3.31491189236636,0.871555611035446,3.80344277564584,0.000142698968465253,0.00417222805321904,"Up"
"Serpina3n","Serpina3n",715.438131101773,3.2586468536926,0.846509285778186,3.8495110549165,0.00011835384221466,0.00379589600104752,"Up"
"Il1f9","Il1f9",73.4406915693152,3.1783145865021,0.774899999743708,4.10158031688386,4.10338025443127e-05,0.00209540095226232,"Up"
"Slfn2","Slfn2",12.7180403178064,3.09026447911397,0.792390902377436,3.8999242291174,9.62227970844678e-05,0.00339787581991618,"Up"
"Gda","Gda",369.221750314337,3.08616574247737,0.776537690826324,3.97426393971082,7.05972412168309e-05,0.00280241875693805,"Up"
"Nos2","Nos2",774.348071922399,3.03427889806075,0.749305169989001,4.04945677620947,5.13366581771099e-05,0.00237467206163775,"Up"
"Kng2","Kng2",2414.45303214042,2.9383003989109,0.828246869767244,3.54761425145697,0.000388737108537819,0.00757672745313178,"Up"
"Gsta1","Gsta1",81.7473752940985,2.92248459002916,0.952255520431703,3.06901301943019,0.00214767231517776,0.0216967912947688,"Up"
"Vnn3","Vnn3",12.8533431405522,2.72197924692928,0.932373672738316,2.91940809411212,0.00350696787310542,0.0295315555249594,"Up"
"Prl2c2","Prl2c2",506.050483914909,2.69874659959726,0.744891636180219,3.62300564070816,0.00029119946955041,0.00641401311138324,"Up"
"Il6","Il6",417.902885293824,2.68858769070807,0.598720869220966,4.49055282506915,7.10385535743874e-06,0.000820100635153206,"Up"
"Prg4","Prg4",988.514696629631,2.66652312928803,0.642513133360869,4.15014571817379,3.32263680220352e-05,0.00186741379844182,"Up"
"Gm3776","Gm3776",11.585332336837,2.59273914097964,0.814217962343785,3.1843305612127,0.00145089223288173,0.0173273221834957,"Up"
"Mmp3","Mmp3",59.2236355114177,2.57464548099742,0.598045068754456,4.30510276819038,1.6690823456184e-05,0.00134144869303812,"Up"
"Ucma","Ucma",14.1150767049133,-2.5461333871245,0.819976021508994,-3.10513151645444,0.00190194436440693,0.0203143526590898,"Down"
"P2rx3","P2rx3",34.5926998827639,2.50401560754743,0.470760464582762,5.31908644827845,1.04289577084713e-07,6.76732597858437e-05,"Up"
"Itgb7","Itgb7",66.6673952989522,2.47103990206491,0.51432315663562,4.80445002365614,1.55177453586188e-06,0.000349330310931439,"Up"
"Wfdc21","Wfdc21",25.082848245494,2.44012500432896,0.564809783960672,4.32025980006548,1.55845611636238e-05,0.00126807631106666,"Up"
"Serpina3m","Serpina3m",23.4881917442979,2.41094349953728,0.585671713549951,4.11654420686249,3.84595589314805e-05,0.00204517032475396,"Up"
"Hlf","Hlf",142.394664615412,2.40892224766696,0.719113450636247,3.34985007655694,0.00080855310947389,0.0117557877822,"Up"
"Il13ra2","Il13ra2",579.571715632702,2.36793490511454,0.582498624648311,4.0651338988898,4.8004893749155e-05,0.0022946568276456,"Up"
"Il1a","Il1a",68.2682683539358,2.33959470880012,0.393507939190337,5.94548286271925,2.75643088672924e-09,6.2051853311753e-06,"Up"
"Trib3","Trib3",923.109603582581,2.32661075216066,0.622080552379839,3.74004739942431,0.000183985556832831,0.00497901963229716,"Up"
"Sprr2g","Sprr2g",19.3669849877595,2.29162126251423,0.623652565106213,3.67451589351509,0.00023830081108436,0.00579951181138099,"Up"
"Kcnma1","Kcnma1",21.3928276274376,2.27628948236031,0.54352806300368,4.18798887730089,2.81437306110547e-05,0.00173616198529278,"Up"
"Tnfrsf9","Tnfrsf9",260.482930099863,2.27598405974537,0.684536021159646,3.32485652966767,0.000884640450786673,0.0125644990207945,"Up"
"Slco4a1","Slco4a1",27.2831453087793,2.26591042201665,0.653660791783095,3.46649279029811,0.000527295876115745,0.00909602222055602,"Up"
"Cck","Cck",567.863891775827,2.24260071092052,0.720106088890542,3.11426433621144,0.00184404201540633,0.0198577495456425,"Up"
"Fam198a","Fam198a",23.0773221996229,-2.20679637719298,0.616654693222142,-3.57865820441913,0.000345362784201316,0.00713062534346444,"Down"
"Ccl8","Ccl8",460.541461736378,2.19728294727529,0.6338097532176,3.46678626531156,0.000526720535833696,0.00909602222055602,"Up"
"Csf2rb","Csf2rb",538.919206445025,2.15273466119092,0.636027716438666,3.38465542546607,0.00071267658032022,0.0108037290352247,"Up"
"Ccr1","Ccr1",8.46576185999212,2.12136943880413,0.678712231082202,3.12558009367479,0.00177454738912919,0.0194112714268113,"Up"
"Rasl11a","Rasl11a",442.472776274505,2.09420906837087,0.550594610369905,3.80354080648177,0.000142642483691488,0.00417222805321904,"Up"
"Mark1","Mark1",30.5041476141383,2.06756103624264,0.474412104138217,4.35815405679505,1.31164046229729e-05,0.00120519236219385,"Up"
"Avil","Avil",36.6398595738284,2.01939832295507,0.412197055442127,4.89910904576706,9.62722057848966e-07,0.000265377282354408,"Up"
"H2-Q10","H2-Q10",9.2934558753526,2.01445268825491,0.706052432089135,2.85312052859071,0.00432921982093804,0.0336061908743736,"Up"
"Havcr2","Havcr2",64.8833244510438,2.00422545525468,0.439643395985432,4.55875255617644,5.14583568643416e-06,0.000674067689847203,"Up"
"Tpsab1","Tpsab1",206.581505194076,1.99920085590785,0.599484096550068,3.33486887711104,0.000853396295531713,0.0122235670877485,"Up"
"Cxcl1","Cxcl1",9874.1126639175,1.99708131410399,0.561002252601579,3.5598454459724,0.000371073118427992,0.00744737683596863,"Up"
"Erv3","Erv3",54.8477171906519,1.963613924779,0.360623543789632,5.44505193461374,5.17902726973161e-08,4.37207008326656e-05,"Up"
"Mmp10","Mmp10",18.6871225551938,1.95784161743249,0.645417670119138,3.0334490486929,0.00241775535069051,0.0234097645317395,"Up"
"Slpi","Slpi",892.477956370023,1.9499758233228,0.588286886528259,3.31466817972174,0.000917519679962378,0.0129227719679373,"Up"
"Npy1r","Npy1r",171.265002445237,1.91638832345243,0.379469285541988,5.05018033466211,4.41393172100275e-07,0.00017033993073024,"Up"
