feature,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
0610005C13Rik,0610005C13Rik,4.1982,-0.4064,0.7762,-0.5236,0.6006,0.9406
0610007P14Rik,0610007P14Rik,1190.2278,0.0124,0.0869,0.1426,0.8866,0.9833
0610009B22Rik,0610009B22Rik,907.9076,0.1148,0.1194,0.9617,0.3362,0.8778
0610009L18Rik,0610009L18Rik,38.1554,0.369,0.2663,1.3855,0.1659,0.8037
0610009O20Rik,0610009O20Rik,1198.7643,0.0116,0.0729,0.1589,0.8738,0.9819
0610010B08Rik,0610010B08Rik,0.3169,0.6972,2.5704,0.2712,0.7862,0.97
0610010F05Rik,0610010F05Rik,862.4452,-0.0955,0.2222,-0.4296,0.6675,0.9568
0610010K14Rik,0610010K14Rik,898.6925,0.0307,0.1148,0.2675,0.789,0.97
0610011F06Rik,0610011F06Rik,371.2236,0.055,0.0937,0.5873,0.557,0.929
0610012G03Rik,0610012G03Rik,376.5779,0.2102,0.1339,1.5694,0.1166,0.7753
0610030E20Rik,0610030E20Rik,957.3555,-0.074,0.1354,-0.5465,0.5848,0.9355
0610037L13Rik,0610037L13Rik,1034.4714,-0.0433,0.0917,-0.4722,0.6368,0.9487
0610038B21Rik,0610038B21Rik,7.7485,0.4008,0.6003,0.6676,0.5044,0.9188
0610039K10Rik,0610039K10Rik,1.1499,-0.9579,1.2892,-0.743,0.4575,0.9137
0610040B10Rik,0610040B10Rik,20.8392,0.3087,0.3584,0.8612,0.3891,0.897
0610040J01Rik,0610040J01Rik,1.3739,1.6675,1.6031,1.0401,0.2983,0.8608
0610043K17Rik,0610043K17Rik,2.2918,0.8776,1.0263,0.8552,0.3925,0.8986
1010001N08Rik,1010001N08Rik,1.57,0.7179,1.288,0.5574,0.5773,0.9345
1110001J03Rik,1110001J03Rik,124.5643,0.0026,0.197,0.0131,0.9895,1
1110002L01Rik,1110002L01Rik,67.0632,-0.114,0.2694,-0.4232,0.6721,0.9583
1110004E09Rik,1110004E09Rik,644.661,0.0333,0.1183,0.2817,0.7782,0.97
1110004F10Rik,1110004F10Rik,2788.31,-0.0319,0.09,-0.3541,0.7233,0.9688
1110006O24Rik,1110006O24Rik,10.6895,0.1403,0.4629,0.3032,0.7618,0.97
1110007C09Rik,1110007C09Rik,1349.0497,0.2909,0.1766,1.6471,0.0995,0.7669
1110008F13Rik,1110008F13Rik,1238.0212,0.1829,0.1773,1.0316,0.3023,0.8615
1110008L16Rik,1110008L16Rik,602.9747,0.0636,0.0803,0.7921,0.4283,0.9073
1110008P14Rik,1110008P14Rik,744.1022,0.1968,0.0978,2.0129,0.0441,0.7364
1110012L19Rik,1110012L19Rik,880.5917,0.2302,0.1812,1.271,0.2037,0.8262
1110017D15Rik,1110017D15Rik,4.9297,0.1969,0.6389,0.3082,0.758,0.9694
1110019D14Rik,1110019D14Rik,95.0373,0.1529,0.2324,0.6581,0.5105,0.9195
1110020A21Rik,1110020A21Rik,13.6011,0.1708,0.3806,0.4488,0.6536,0.9548
1110032A03Rik,1110032A03Rik,286.431,0.2365,0.1528,1.5482,0.1216,0.7753
1110034G24Rik,1110034G24Rik,147.3277,0.2736,0.1765,1.5503,0.1211,0.7753
1110037F02Rik,1110037F02Rik,2984.5104,-0.1762,0.1263,-1.3951,0.163,0.8037
1110038B12Rik,1110038B12Rik,1966.7518,0.2623,0.2208,1.188,0.2348,0.8363
1110038F14Rik,1110038F14Rik,941.131,0.029,0.1069,0.2711,0.7863,0.97
1110046J04Rik,1110046J04Rik,184.8479,0.2407,0.2402,1.0019,0.3164,0.8701
1110051M20Rik,1110051M20Rik,1343.1413,0.0152,0.0778,0.195,0.8454,0.9776
1110059E24Rik,1110059E24Rik,1022.6073,-0.1318,0.0793,-1.6624,0.0964,0.7668
1110059G10Rik,1110059G10Rik,597.6557,-0.0781,0.1117,-0.6998,0.484,0.9168
1110065P20Rik,1110065P20Rik,311.9572,-0.0165,0.1931,-0.0854,0.9319,0.9921
1190002F15Rik,1190002F15Rik,74.5776,-0.3777,0.2279,-1.6572,0.0975,0.7669
1190002N15Rik,1190002N15Rik,5143.3395,-0.2563,0.2473,-1.036,0.3002,0.8612
1190005I06Rik,1190005I06Rik,4.9197,-0.2434,0.6748,-0.3607,0.7183,0.967
1190007I07Rik,1190007I07Rik,73.046,0.1737,0.1892,0.9183,0.3585,0.8858
1200014J11Rik,1200014J11Rik,1636.4943,-0.1271,0.0818,-1.5541,0.1202,0.7753
1300002E11Rik,1300002E11Rik,242.4615,0.1781,0.153,1.1644,0.2443,0.8419
1300017J02Rik,1300017J02Rik,2.6155,0.1437,0.8953,0.1605,0.8725,0.9819
1500004A13Rik,1500004A13Rik,86.0776,-0.1028,0.2134,-0.4817,0.63,0.9451
1500009C09Rik,1500009C09Rik,0.315,0.6941,2.5739,0.2697,0.7874,0.97
1500009L16Rik,1500009L16Rik,15.1123,-0.3815,0.3906,-0.9768,0.3287,0.8758
1500011B03Rik,1500011B03Rik,283.0603,0.367,0.253,1.4502,0.147,0.7945
1500011K16Rik,1500011K16Rik,445.7396,0.0537,0.1239,0.4332,0.6648,0.9561
1500012F01Rik,1500012F01Rik,1847.2434,0.2712,0.2094,1.2948,0.1954,0.8204
1500012K07Rik,1500012K07Rik,1.9009,0.3117,1.1252,0.277,0.7818,0.97
1500015A07Rik,1500015A07Rik,62.1613,0.2256,0.4328,0.5212,0.6022,0.941
