feature,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
0610005C13Rik,0610005C13Rik,4.097,-0.2026,0.8854,-0.2288,0.8191,
0610007P14Rik,0610007P14Rik,1099.4849,-0.0052,0.0774,-0.0675,0.9462,0.9971
0610009B22Rik,0610009B22Rik,750.0969,-0.0391,0.0847,-0.4612,0.6446,0.9684
0610009L18Rik,0610009L18Rik,24.8296,0.0779,0.3283,0.2372,0.8125,0.9886
0610009O20Rik,0610009O20Rik,1149.3325,-0.0376,0.0724,-0.5187,0.604,0.966
0610010F05Rik,0610010F05Rik,681.1058,-0.0437,0.191,-0.2288,0.819,0.9892
0610010K14Rik,0610010K14Rik,919.277,0.0203,0.0771,0.2638,0.7919,0.9866
0610011F06Rik,0610011F06Rik,359.334,0.0873,0.1017,0.8578,0.391,0.9331
0610012G03Rik,0610012G03Rik,321.3337,-0.127,0.102,-1.2454,0.213,0.8877
0610030E20Rik,0610030E20Rik,864.6869,0.1798,0.1076,1.6701,0.0949,0.7876
0610037L13Rik,0610037L13Rik,983.6591,0.0569,0.0951,0.5979,0.5499,0.9571
0610038B21Rik,0610038B21Rik,8.8596,0.4632,0.4862,0.9526,0.3408,
0610039K10Rik,0610039K10Rik,1.2499,-0.7858,1.4951,-0.5256,0.5991,
0610040B10Rik,0610040B10Rik,20.8071,0.162,0.3249,0.4987,0.618,0.966
0610040F04Rik,0610040F04Rik,0.5789,-0.5057,2.0046,-0.2522,0.8008,
0610040J01Rik,0610040J01Rik,0.676,-0.6102,1.9263,-0.3168,0.7514,
0610043K17Rik,0610043K17Rik,1.3432,0.4443,1.2549,0.354,0.7233,
1010001N08Rik,1010001N08Rik,1.0521,-2.3448,1.6993,-1.3798,0.1676,
1110001J03Rik,1110001J03Rik,122.5994,-0.0899,0.1455,-0.618,0.5366,0.9571
1110002L01Rik,1110002L01Rik,66.806,0.1095,0.2143,0.511,0.6094,0.966
1110004E09Rik,1110004E09Rik,565.9651,0.0183,0.1228,0.1492,0.8814,0.9914
1110004F10Rik,1110004F10Rik,2588.6651,-0.0473,0.0834,-0.5674,0.5705,0.9605
1110006O24Rik,1110006O24Rik,8.7699,0.677,0.4854,1.3948,0.1631,
1110007C09Rik,1110007C09Rik,1059.8132,-0.1156,0.0788,-1.4665,0.1425,0.8395
1110008F13Rik,1110008F13Rik,1094.7428,0.1165,0.123,0.9477,0.3433,0.9246
1110008L16Rik,1110008L16Rik,558.8421,-0.0422,0.0736,-0.5736,0.5663,0.9592
1110008P14Rik,1110008P14Rik,633.9857,-0.0351,0.089,-0.394,0.6935,0.9731
1110012L19Rik,1110012L19Rik,820.7147,0.2535,0.1394,1.8182,0.069,0.7617
1110017D15Rik,1110017D15Rik,1.8325,-0.8759,1.0643,-0.8231,0.4105,
1110019D14Rik,1110019D14Rik,94.1556,0.0382,0.1869,0.2046,0.8379,0.9906
1110020A21Rik,1110020A21Rik,11.2152,0.2141,0.4815,0.4447,0.6565,
1110032A03Rik,1110032A03Rik,259.1604,0.038,0.1093,0.3476,0.7281,0.9796
1110034G24Rik,1110034G24Rik,130.1929,0.1122,0.1304,0.8603,0.3896,0.933
1110037F02Rik,1110037F02Rik,2880.7138,0.0601,0.0766,0.7846,0.4327,0.9453
1110038B12Rik,1110038B12Rik,1498.2654,-0.0462,0.0723,-0.6387,0.523,0.9556
1110038F14Rik,1110038F14Rik,849.3896,-0.0949,0.0656,-1.4474,0.1478,0.8425
1110046J04Rik,1110046J04Rik,159.1325,-0.2392,0.1271,-1.8821,0.0598,0.749
1110051M20Rik,1110051M20Rik,1308.8347,-0.0331,0.0568,-0.5817,0.5608,0.9579
1110059E24Rik,1110059E24Rik,1011.9233,-0.0138,0.0729,-0.1898,0.8494,0.9906
1110059G10Rik,1110059G10Rik,488.1548,0.0533,0.1119,0.476,0.6341,0.9681
1110065P20Rik,1110065P20Rik,318.9213,0.2498,0.1841,1.357,0.1748,0.8614
1190002F15Rik,1190002F15Rik,80.6758,-0.301,0.1745,-1.7246,0.0846,0.7762
1190002N15Rik,1190002N15Rik,5052.9321,0.1565,0.1237,1.2645,0.2061,0.886
1190005I06Rik,1190005I06Rik,5.8448,0.1598,0.7626,0.2096,0.834,
1190007I07Rik,1190007I07Rik,58.6993,-0.1561,0.1964,-0.7947,0.4268,0.9429
1200014J11Rik,1200014J11Rik,1575.9275,0.0376,0.0644,0.5839,0.5593,0.9579
1300002E11Rik,1300002E11Rik,196.1041,0.2112,0.1155,1.8283,0.0675,0.7617
1300017J02Rik,1300017J02Rik,0.8801,-1.5031,1.5384,-0.977,0.3286,
1500004A13Rik,1500004A13Rik,73.7045,0.4174,0.1766,2.3632,0.0181,0.582
1500009C09Rik,1500009C09Rik,0.4831,0.2636,2.062,0.1278,0.8983,
1500009L16Rik,1500009L16Rik,21.2552,0.2655,0.3201,0.8294,0.4069,0.9373
1500011B03Rik,1500011B03Rik,215.8521,0.0605,0.173,0.3497,0.7265,0.9796
1500011K16Rik,1500011K16Rik,399.8097,0.0892,0.1323,0.6739,0.5004,0.9515
1500012F01Rik,1500012F01Rik,1423.9693,-0.0674,0.0751,-0.8971,0.3697,0.9295
1500012K07Rik,1500012K07Rik,0.9705,-0.0671,1.5806,-0.0424,0.9661,
1500015A07Rik,1500015A07Rik,46.2025,0.6187,0.4382,1.4119,0.158,0.8542
1500015O10Rik,1500015O10Rik,35.4439,-0.2279,0.2645,-0.8617,0.3888,0.933
1500017E21Rik,1500017E21Rik,56.6944,-0.4075,0.2683,-1.5189,0.1288,0.8225
1500026H17Rik,1500026H17Rik,1.3528,1.0471,1.2419,0.8432,0.3991,
