feature,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
0610005C13Rik,0610005C13Rik,5.6157,0.8611,0.7256,1.1867,0.2353,0.9543
0610007P14Rik,0610007P14Rik,1109.0214,0.0223,0.0691,0.3223,0.7472,0.9992
0610009B22Rik,0610009B22Rik,768.4341,0.1002,0.0843,1.1881,0.2348,0.9543
0610009L18Rik,0610009L18Rik,24.4984,-0.1138,0.3968,-0.2867,0.7743,0.9992
0610009O20Rik,0610009O20Rik,1144.5037,0.0224,0.0632,0.3538,0.7235,0.9992
0610010F05Rik,0610010F05Rik,722.5364,0.1962,0.1786,1.099,0.2718,0.9733
0610010K14Rik,0610010K14Rik,905.9682,-0.067,0.0661,-1.015,0.3101,0.9941
0610011F06Rik,0610011F06Rik,365.2855,-0.0429,0.094,-0.4564,0.6481,0.9992
0610012G03Rik,0610012G03Rik,310.563,0.0274,0.1412,0.194,0.8462,0.9995
0610030E20Rik,0610030E20Rik,892.8329,-0.0937,0.0921,-1.0171,0.3091,0.9941
0610037L13Rik,0610037L13Rik,993.4477,-0.036,0.0838,-0.4295,0.6676,0.9992
0610038B21Rik,0610038B21Rik,8.1179,-0.7192,0.6297,-1.1422,0.2534,0.9646
0610040B10Rik,0610040B10Rik,20.8971,-0.1367,0.3042,-0.4492,0.6533,0.9992
0610040J01Rik,0610040J01Rik,0.5787,0.2444,1.7598,0.1389,0.8895,
0610043K17Rik,0610043K17Rik,1.6368,0.1913,1.0912,0.1753,0.8609,
1110001J03Rik,1110001J03Rik,113.9653,-0.1116,0.1422,-0.785,0.4325,0.9992
1110002L01Rik,1110002L01Rik,67.4787,-0.1033,0.2503,-0.4127,0.6798,0.9992
1110004E09Rik,1110004E09Rik,596.9006,0.1251,0.0954,1.3117,0.1896,0.9329
1110004F10Rik,1110004F10Rik,2578.3276,0.0288,0.0585,0.4926,0.6223,0.9992
1110006O24Rik,1110006O24Rik,9.1828,-0.4938,0.4964,-0.9947,0.3199,0.9944
1110007C09Rik,1110007C09Rik,1061.6806,0.1137,0.1355,0.8395,0.4012,0.9992
1110008F13Rik,1110008F13Rik,1132.4974,-0.0252,0.1388,-0.1818,0.8557,0.9995
1110008L16Rik,1110008L16Rik,560.561,0.0465,0.0712,0.6525,0.5141,0.9992
1110008P14Rik,1110008P14Rik,660.351,0.1407,0.0918,1.5319,0.1255,0.8769
1110012L19Rik,1110012L19Rik,850.8924,-0.1496,0.1492,-1.003,0.3158,0.9944
