"","PC1","PC2","PC3","PC4"
"DHMR001",-16.0922,1.5159,9.57,-3.3665
"DHMR002",-1.2536,-7.9961,-1.4006,2.1851
"DHMR003",-8.7973,9.961,-3.9785,-1.3025
"DHMR004",-12.5238,2.7642,-0.5074,0.8666
"DHMR005",15.4049,-0.9336,-0.0253,-8.1628
"DHMR006",-15.9982,-4.8268,6.697,-3.9703
"DHMR007",-16.0233,-6.2782,-4.5839,1.7096
"DHMR008",-10.2294,5.9159,-4.4437,1.3499
"DHMR009",-1.3392,-6.9423,-0.8214,-0.1237
"DHMR010",14.7062,-8.8415,-1.5314,8.0281
"DHMR011",29.7379,-3.6754,0.022,4.2616
"DHMR012",14.6648,-2.6921,-1.4725,-6.9282
"DHMR013",-0.6593,-6.3165,-1.2038,-1.3149
"DHMR014",0.9559,-6.843,-6.048,2.9556
"DHMR015",19.1585,4.9675,-3.4715,-6.6046
"DHMR016",44.86,4.1236,9.0729,4.7606
"DHMR017",-10.4176,1.0787,-1.5379,3.7536
"DHMR018",-15.4951,-1.3943,7.0657,0.5086
"DHMR019",-5.2236,11.2872,4.2927,6.1158
"DHMR020",-4.8015,10.2564,-2.931,5.6336
"DHMR021",-16.0703,-4.6094,5.6755,-1.9371
"DHMR022",-12.4099,2.3154,-2.4344,-0.3232
"DHMR023",19.7266,5.158,-3.2322,-6.5815
"DHMR024",-11.8802,2.0053,-2.772,-1.5135
