group,gene,DHMR001,DHMR002,DHMR003,DHMR004,DHMR005,DHMR006,DHMR007,DHMR008,DHMR009,DHMR010,DHMR011,DHMR012,DHMR013,DHMR014,DHMR015,DHMR016,DHMR017,DHMR018,DHMR019,DHMR020,DHMR021,DHMR022,DHMR023,DHMR024
DMSO,Saa3,4.2,99.2,17.5,8.0,867.6,5.2,7.1,14.5,77.9,176.8,892.7,741.2,98.6,96.2,864.8,1468.7,15.1,6.1,23.6,24.6,5.6,11.0,758.4,13.7
DMSO,Lcn2,1.2,4.3,2.2,1.6,47.3,0.7,1.2,1.8,4.4,7.9,50.9,44.6,4.3,5.2,47.2,90.0,2.1,1.0,3.9,3.5,0.7,2.0,46.0,1.4
DMSO,Mmp13,0.0,0.3,0.0,0.0,6.3,0.0,0.1,0.1,0.6,1.0,6.0,5.0,0.3,0.5,6.3,9.6,0.1,0.0,0.0,0.1,0.0,0.2,5.0,0.1
DMSO,Ccl3,0.0,0.1,0.0,0.0,3.0,0.0,0.1,0.0,0.3,0.6,3.3,2.4,0.1,0.3,3.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0
DMSO,Kng1,0.1,1.5,0.4,0.2,22.0,0.3,0.1,0.4,1.8,2.6,22.2,20.5,1.6,1.2,22.1,39.6,0.3,0.2,0.5,0.4,0.1,0.4,21.0,0.4
DMSO,Try5,0.0,0.6,0.2,0.1,15.9,0.0,0.1,0.2,0.5,1.2,14.3,14.3,0.7,0.6,15.7,34.5,0.0,0.0,0.2,0.2,0.0,0.1,14.7,0.0
DMSO,Clec4e,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.1,0.1,1.7,1.5,0.0,0.1,1.7,3.6,0.0,0.0,0.0,0.0,0.1,0.0,1.5,0.0
DMSO,Il1b,2.5,2.9,4.6,2.6,3.4,4.4,4.4,4.9,3.7,3.6,3.1,3.6,3.8,5.2,4.9,3.4,2.2,2.7,2.6,2.1,3.7,2.9,4.9,4.4
DMSO+LIPUS,Saa3,4.2,99.2,17.5,8.0,867.6,5.2,7.1,14.5,77.9,176.8,892.7,741.2,98.6,96.2,864.8,1468.7,15.1,6.1,23.6,24.6,5.6,11.0,758.4,13.7
DMSO+LIPUS,Lcn2,1.2,4.3,2.2,1.6,47.3,0.7,1.2,1.8,4.4,7.9,50.9,44.6,4.3,5.2,47.2,90.0,2.1,1.0,3.9,3.5,0.7,2.0,46.0,1.4
