sample,group,library_size,zero_fraction,panel_score_log2_vs_group_median,flags
DHMR001,DMSO,20888254,0.3585,-1.603,half_depth
DHMR002,DMSO,40196982,0.3306,1.837,single_sample_immune_response
DHMR003,DMSO,40309632,0.3319,0.204,
DHMR004,DMSO,40246782,0.3306,-0.238,
DHMR005,DMSO+LIPUS,40372054,0.3295,5.621,single_sample_immune_response
DHMR006,DMSO+LIPUS,20682178,0.3547,-1.459,half_depth
DHMR007,DMSO+LIPUS,39570363,0.3257,-0.376,
DHMR008,DMSO+LIPUS,40057368,0.332,0.298,
DHMR009,T4400,40229944,0.3298,-2.559,
DHMR010,T4400,40140320,0.3326,-1.735,
DHMR011,T4400,40182877,0.3342,0.96,
DHMR012,T4400,40167046,0.3285,0.765,
DHMR013,T4400+LIPUS,40391543,0.3313,-3.081,
DHMR014,T4400+LIPUS,39792622,0.3279,-2.529,
DHMR015,T4400+LIPUS,40294478,0.3302,0.954,
DHMR016,T4400+LIPUS,20538855,0.3627,0.869,half_depth
DHMR017,T3976,40045877,0.3311,0.115,
DHMR018,T3976,20733540,0.3563,-1.263,half_depth
DHMR019,T3976,20699355,0.358,-0.026,half_depth
DHMR020,T3976,40211107,0.3342,0.585,
DHMR021,T3976+LIPUS,20816291,0.3528,-2.077,half_depth
DHMR022,T3976+LIPUS,40370792,0.3302,0.224,
DHMR023,T3976+LIPUS,40078220,0.3321,5.336,single_sample_immune_response
DHMR024,T3976+LIPUS,40228441,0.3297,-0.322,
