"primary","shannon","simpson","invsimpson","observerd_index","chao1","ACE","pielou","observed"
"J_XYL_F_0001_01",0.924757797840737,0.481863002967865,1.92999149979244,8,8,NA,0.444714496322743,NA
"J_XYL_F_0001_02",1.00103683729871,0.498972038415349,1.99589658995717,19,19,19,0.33997540597092,NA
"J_XYL_F_0002_01",1.84017821484925,0.735603908879875,3.78220417617922,17,17,17,0.649502169933566,NA
"J_XYL_F_0002_02",1.82582941104524,0.727942215541938,3.67568971419802,21,21,21,0.599709625530147,NA
"J_XYL_F_0003_01",1.95844352682692,0.794715376752758,4.87128545812034,12,12,NA,0.788135653705144,NA
"J_XYL_F_0003_02",1.35581417824375,0.621415114799025,2.64141554269696,16,16,16,0.489006597829802,NA
"J_XYL_F_0004_01",1.72450817393339,0.703076403067826,3.36786974943062,17,17,NA,0.608675720644625,NA
"J_XYL_F_0004_02",1.4211441714767,0.632513790069683,2.72119054532583,21,21,21,0.466787222149485,NA
"J_XYL_F_0005_01",1.48032014456026,0.653562119796533,2.88652037534893,17,17,17,0.522488060302913,NA
"J_XYL_F_0005_02",1.85931237306066,0.746746714095468,3.94861609170577,21,21,21,0.610707397003447,NA
"J_XYL_F_0006_01",1.0079267969662,0.514357672920583,2.05912858958126,8,8,NA,0.484710330520744,NA
"J_XYL_F_0006_02",1.21160646068186,0.641631884285447,2.79042681575087,6,6,NA,0.676210440904693,NA
"J_XYL_F_0010_01",1.6014663155233,0.668556278711889,3.01710346514828,21,21,22.08,0.526015606152279,NA
"J_XYL_F_0010_02",1.40359493313348,0.541486496737976,2.18096085041259,21,21,21,0.461023021457196,NA
"J_XYL_F_0012_01",1.43898736170361,0.612760587036403,2.58238176828867,15,15,NA,0.531373960910296,NA
"J_XYL_F_0012_02",1.31348776421306,0.52067983862051,2.0862882068678,21,21,NA,0.431426534400988,NA
"J_XYL_F_0013_01",1.52862764710777,0.64704276013551,2.83320438584552,21,21,21,0.502091108992062,NA
"J_XYL_F_0013_02",0.855945800672304,0.412451589616062,1.70198741469923,14,14,NA,0.324337706144902,NA
"J_XYL_F_0015_01",1.63576208296069,0.740261606723682,3.85002766586058,13,13,NA,0.637736600218714,NA
"J_XYL_F_0015_02",1.71928873090697,0.731651118280458,3.72649214556863,16,16,NA,0.620102331483942,NA
"J_XYL_F_0016_01",2.05473523210219,0.786119286306134,4.67550338097026,21,21,NA,0.674895742807742,NA
"J_XYL_F_0016_02",1.57962452295512,0.705152986639122,3.3915893825794,16,16,16,0.569729116433488,NA
"J_XYL_F_0018_01",1.74026675374891,0.685456042039266,3.17920587787871,23,23,NA,0.55502151619604,NA
