"sample","Axis1","Axis2","group","method"
"J_XYL_F_0001_01",-0.324714546736947,0.0107977051572844,"IBS_before","PCoA"
"J_XYL_F_0001_02",-0.208500172934946,0.235798856568307,"IBS_after","PCoA"
"J_XYL_F_0002_01",0.099203696368401,-0.0466805299858737,"IBS_before","PCoA"
"J_XYL_F_0002_02",0.176955196111651,0.0391046000487185,"IBS_after","PCoA"
"J_XYL_F_0003_01",0.0693814590384223,-0.100380898317348,"IBS_before","PCoA"
"J_XYL_F_0003_02",0.0456325168431942,-0.255987077429258,"IBS_after","PCoA"
"J_XYL_F_0004_01",0.187576911860154,0.0391726156357899,"IBS_before","PCoA"
"J_XYL_F_0004_02",0.164372631569151,0.0472531091858353,"IBS_after","PCoA"
"J_XYL_F_0005_01",0.0812479847678469,-0.138192727589396,"IBS_before","PCoA"
"J_XYL_F_0005_02",-0.0458202008891855,0.0299136383732027,"IBS_after","PCoA"
"J_XYL_F_0006_01",0.122102477913266,0.057272991988871,"IBS_before","PCoA"
"J_XYL_F_0006_02",-0.0864349181693211,-0.219496033941612,"IBS_after","PCoA"
"J_XYL_F_0010_01",0.0433466613665352,0.131648467845339,"IBS_before","PCoA"
"J_XYL_F_0010_02",0.234808264432393,0.132117563075137,"IBS_after","PCoA"
"J_XYL_F_0012_01",-0.061993558669983,-0.341734856786885,"IBS_before","PCoA"
"J_XYL_F_0012_02",-0.0261164615113622,-0.458466162583608,"IBS_after","PCoA"
"J_XYL_F_0013_01",0.126673695356048,0.0373536006734421,"IBS_before","PCoA"
"J_XYL_F_0013_02",0.181496629762136,0.192919166021818,"IBS_after","PCoA"
"J_XYL_F_0015_01",-0.173299517382751,-0.0674418358359641,"IBS_before","PCoA"
"J_XYL_F_0015_02",-0.0636276671434031,-0.274743469604618,"IBS_after","PCoA"
"J_XYL_F_0016_01",-0.192776358029937,-0.0690997723605812,"IBS_before","PCoA"
"J_XYL_F_0016_02",-0.0632267651216208,-0.100869305599468,"IBS_after","PCoA"
"J_XYL_F_0018_01",0.143497070052179,0.0857601538923765,"IBS_before","PCoA"
"J_XYL_F_0018_02",-0.0564589514881384,-0.260151286348516,"IBS_after","PCoA"
"J_XYL_F_0020_01",0.210681759925712,0.0835768041658008,"IBS_before","PCoA"
"J_XYL_F_0020_02",-0.162672320745028,-0.0909417335400377,"IBS_after","PCoA"
"J_XYL_F_0025_01",-0.152280053160208,-0.0320756652071089,"IBS_before","PCoA"
"J_XYL_F_0025_02",-0.0652528429810153,0.102216326597876,"IBS_after","PCoA"
"J_XYL_F_0031_01",0.210595484829432,0.14119683123005,"IBS_before","PCoA"
"J_XYL_F_0031_02",0.149787004446006,0.104741407222685,"IBS_after","PCoA"
"J_XYL_F_0032_01",-0.0339347629877949,-0.159492175936064,"IBS_before","PCoA"
"J_XYL_F_0032_02",0.0725165759504011,0.0324498253674129,"IBS_after","PCoA"
"J_XYL_F_0034_01",-0.0127843325541454,0.124907647342719,"IBS_before","PCoA"
"J_XYL_F_0034_02",-0.28715406679068,0.108861666768636,"IBS_after","PCoA"
"J_XYL_F_0036_01",-0.0302376613248027,-0.0331872200683895,"IBS_before","PCoA"
"J_XYL_F_0036_02",-0.0681305029594036,-0.201347384601154,"IBS_after","PCoA"
"J_XYL_F_0043_01",0.0903047330271275,0.155431738466501,"IBS_before","PCoA"
"J_XYL_F_0043_2",-0.0613228575452879,-0.191353505801391,"IBS_after","PCoA"
"J_XYL_F_0044_01",0.0509322912387533,0.0988222591115294,"IBS_before","PCoA"
"J_XYL_F_0044_02",-0.102922652379759,0.0456047757499303,"IBS_after","PCoA"
"J_XYL_F_0045_01",-0.466700960880866,0.133786955958523,"IBS_before","PCoA"
"J_XYL_F_0045_2",-0.430224948610524,0.137512272010776,"IBS_after","PCoA"
"J_XYL_F_0046_01",0.0908166196969295,-0.0258848123663758,"IBS_before","PCoA"
"J_XYL_F_0046_02",-0.01733658649961,0.132441063422095,"IBS_after","PCoA"
"J_XYL_F_0047_01",-0.0836198316785555,0.207806279040749,"IBS_before","PCoA"
"J_XYL_F_0047_02",-0.000199942999715392,0.0787932331569084,"IBS_after","PCoA"
"J_XYL_F_0048_01",-0.484366244261826,0.154000552490488,"IBS_before","PCoA"
"J_XYL_F_0049_02",-0.0777361925027547,0.0412923446335618,"IBS_after","PCoA"
"J_XYL_F_0050_01",-0.372689234787741,0.123962238709486,"IBS_before","PCoA"
"J_XYL_F_0050_02",-0.175723990614007,-0.156171070555574,"IBS_after","PCoA"
"J_XYL_F_0051_01",-0.338494091112832,0.157821630145868,"IBS_before","PCoA"
"J_XYL_F_0051_02",0.178107021886127,-0.0851328438690641,"IBS_after","PCoA"
"J_XYL_F_0053_01",0.103068507717685,-0.0261182283251496,"IBS_before","PCoA"
"J_XYL_F_0053_02",0.0906988003170692,-0.163902946237133,"IBS_after","PCoA"
"J_XYL_F_0057_01",-0.280646897706616,0.0201685064282075,"IBS_before","PCoA"
"J_XYL_F_0057_02",-0.0547661830074755,0.00767369836147269,"IBS_after","PCoA"
"J_XYL_F_0058_01",-0.346547505870517,0.0954126996741166,"IBS_before","PCoA"
"J_XYL_F_0058_02",0.059088522544358,0.0191256754916325,"IBS_after","PCoA"
"J_XYL_F_0059_01",0.109117116168867,-0.00588626158438764,"IBS_before","PCoA"
"J_XYL_F_0059_02",0.105603374945954,0.0393838878428172,"IBS_after","PCoA"
"J_XYL_F_0060_01",-0.0997711264048503,-0.0266653393974256,"IBS_before","PCoA"
"J_XYL_F_0060_02",0.182749894982153,0.170848471472097,"IBS_after","PCoA"
"J_XYL_F_0061_01",0.254489858499441,0.0949497995904701,"IBS_before","PCoA"
"J_XYL_F_0061_02",0.0924847657113654,-0.0902307728110548,"IBS_after","PCoA"
"J_XYL_F_0062_01",0.186491567054557,0.0238716185399056,"IBS_before","PCoA"
"J_XYL_F_0062_02",0.186114788335173,0.0184523013516561,"IBS_after","PCoA"
"J_XYL_F_0064_01",-0.317944716015953,0.149347652314392,"IBS_before","PCoA"
"J_XYL_F_0064_02",-0.318930557461507,0.0507167832050235,"IBS_after","PCoA"
"J_XYL_F_0065_01",0.110427026682321,0.0713974705504223,"IBS_before","PCoA"
"J_XYL_F_0065_02",0.129591762427344,0.0713162007159242,"IBS_after","PCoA"
"J_XYL_F_0066_01",-0.219968170928308,-0.0741727788637708,"IBS_before","PCoA"
"J_XYL_F_0066_02",0.0743523964425682,-0.00181784480334593,"IBS_after","PCoA"
"K_XYL_F_0001_01",-0.270456096117131,0.0424965562715091,"UC_before","PCoA"
"K_XYL_F_0001_02",0.0423347813190275,0.319279395607753,"UC_after","PCoA"
"K_XYL_F_0002_01",-0.374713128885862,0.137001254262279,"UC_before","PCoA"
"K_XYL_F_0002_02",0.0193780583687616,0.29332583336249,"UC_after","PCoA"
"K_XYL_F_0003_01",-0.0795884626439846,-0.195659775344092,"UC_before","PCoA"
"K_XYL_F_0003_02",-0.393831121004914,0.0949655476617453,"UC_after","PCoA"
"K_XYL_F_0004_01",-0.292313557089248,0.0717907788626147,"UC_before","PCoA"
"K_XYL_F_0004_02",-0.18188912932471,0.280424033844668,"UC_after","PCoA"
"K_XYL_F_0005_01",-0.0517165577951075,-0.198404839185389,"UC_before","PCoA"
"K_XYL_F_0005_02",0.296366728637706,0.126421509979159,"UC_after","PCoA"
"K_XYL_F_0007_01",-0.0962997212519385,0.073644710810908,"UC_before","PCoA"
"K_XYL_F_0007_02",-0.0144203473910086,0.0826509045564693,"UC_after","PCoA"
"K_XYL_F_0008_01",-0.0797842695965516,-0.109394399686599,"UC_before","PCoA"
"K_XYL_F_0008_02",-0.260998933764386,-0.0321856905052102,"UC_after","PCoA"
"K_XYL_F_0009_01",0.0359888411890415,-0.214001291490208,"UC_before","PCoA"
"K_XYL_F_0009_02",0.0605238839710612,0.0510997836298779,"UC_after","PCoA"
"K_XYL_F_0011_01",0.0312428139513572,-0.0605006904589208,"UC_before","PCoA"
"K_XYL_F_0011_02",0.157156228270548,-0.0385957227032899,"UC_after","PCoA"
"K_XYL_F_0012_01",0.176412504145518,0.0348962297639154,"UC_before","PCoA"
"K_XYL_F_0012_02",0.0778646174416574,-0.339969060619748,"UC_after","PCoA"
"K_XYL_F_0013_01",-0.361768221975398,0.0408351033368283,"UC_before","PCoA"
"K_XYL_F_0013_02",0.0751492809943998,-0.269786885863955,"UC_after","PCoA"
"K_XYL_F_0017_01",0.130759907706012,0.185792844546221,"UC_before","PCoA"
"K_XYL_F_0017_02",-0.0843531330728358,0.177829607342219,"UC_after","PCoA"
"K_XYL_F_0018_01",0.119756932718333,-0.0142519164807598,"UC_before","PCoA"
"K_XYL_F_0018_02",-0.0419900319633574,0.0137926838148725,"UC_after","PCoA"
"K_XYL_F_0022_01",0.199465291813336,0.0430929208440424,"UC_before","PCoA"
"K_XYL_F_0022_02",0.0207538308906507,-0.370157953597501,"UC_after","PCoA"
"K_XYL_F_0028_01",-0.0232920142846609,-0.148107466536526,"UC_before","PCoA"
"K_XYL_F_0028_02",0.155257413531321,-0.0405311082519448,"UC_after","PCoA"
