feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC
__,Group,0.1039,0.5792,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.228,0.2963
s__,Group,0.744,1,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,1.0217,0.031
s__dolichum,Group,0.756,1,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.4254,-1.2332
s__ramosum,Group,0.7166,1,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,1.2385,0.3085
s__prausnitzii,Group,0.9099,1,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.9376,-0.093
s__gnavus,Group,0.1413,0.657,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,2.4006,1.2634
s__distasonis,Group,0.8345,1,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.8036,-0.3154
s__formicilis,Group,0.5729,1,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.715,-0.4841
s__spiroforme,Group,0.0977,0.5792,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.8069,-0.3095
s__mucilaginosa,Group,1,1,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.7829,-0.3531
s__lenta,Group,1,1,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,1.2803,0.3565
s__helveticus,Group,0.3427,0.9425,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,1.9542,0.9666
s__moorei,Group,0.9342,1,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,1.4,0.4854
s__copri,Group,0.332,0.9425,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,1.4796,0.5652
s__muciniphila,Group,0.0476,0.5234,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.1729,-2.5318
s__ovatus,Group,0.1486,0.657,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,2.1819,1.1256
s__fragilis,Group,0.1845,0.6723,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,2.2003,1.1377
s__longicatena,Group,0.1053,0.5792,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,3.4041,1.7673
s__longum,Group,0.9637,1,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.6399,-0.6441
s__adolescentis,Group,1,1,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.697,-0.5208
s__animalis,Group,0.0189,0.5049,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.037,-4.7549
s__C21_c20,Group,0.7714,1,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,1.3122,0.392
s__D168,Group,0.6082,1,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,7.2048,2.849
s__parainfluenzae,Group,0.8723,1,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,1.1615,0.216
s__viridiflava,Group,0.4212,1,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,1.1564,0.2096
s__dispar,Group,0.1672,0.657,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,1.8602,0.8954
s__aerofaciens,Group,0.1956,0.6723,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.5799,-0.7862
s__salivarius,Group,0.9835,1,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.309,-1.6941
s__plebeius,Group,0.5704,1,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,1.3561,0.4395
s__neonatale,Group,0.4042,1,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,1.962,0.9723
s__producta,Group,0.948,1,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,2.0863,1.061
s__catus,Group,0.0275,0.5049,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.3069,-1.7043
s__callidus,Group,0.3255,0.9425,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,2.5236,1.3355
s__yabuuchiae,Group,0.7254,1,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,1.0752,0.1047
s__bromii,Group,0.0756,0.5792,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.6373,-0.65
s__pullicaecorum,Group,0.877,1,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,7.1136,2.8306
s__zeae,Group,0.1637,0.657,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.1143,-3.1293
s__biforme,Group,0.9931,1,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.7915,-0.3373
s__reuteri,Group,0.007,0.3844,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.069,-3.8569
s__uniformis,Group,0.0372,0.5113,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,2.0767,1.0543
s__stercorea,Group,0.3636,0.9523,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,2.0201,1.0145
s__caccae,Group,0.7093,1,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,1.5939,0.6726
s__formicigenerans,Group,0.5447,1,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.8636,-0.2116
s__obeum,Group,0.7753,1,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.9389,-0.0909
s__torques,Group,0.8275,1,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.9568,-0.0637
s__eutactus,Group,0.3259,0.9425,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,2.1929,1.1328
s__rhizosphaerae,Group,0.615,1,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.8094,-0.3051
s__parvula,Group,0.4846,1,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,1.3917,0.4768
s__palleronii,Group,0.4749,1,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,1.2512,0.3234
s__mucosae,Group,0.0821,0.5792,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.0174,-5.843
s__putredinis,Group,0.7738,1,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,1.5022,0.5871
s__citroniae,Group,0.5552,1,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,1.3278,0.409
s__breve,Group,0.7826,1,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_before vs IBS_after,0.8262,-0.2754
