feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC
__,Group_sub,0.2931,1,IBS_before_poor,Wilcoxon rank sum exact test,IBS_before_poor vs IBS_after_poor,1.0626,0.0876
s__,Group_sub,0.7193,1,IBS_after_poor,Wilcoxon rank sum exact test,IBS_before_poor vs IBS_after_poor,0.9235,-0.1148
s__dolichum,Group_sub,0.9611,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.5614,-0.8329
s__ramosum,Group_sub,0.9337,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,1.5391,0.6221
s__prausnitzii,Group_sub,0.5553,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.8394,-0.2526
s__gnavus,Group_sub,0.2606,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,3.4091,1.7694
s__distasonis,Group_sub,0.9068,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.9758,-0.0353
s__formicilis,Group_sub,0.9872,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.824,-0.2793
s__spiroforme,Group_sub,0.3536,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,2.1364,1.0952
s__mucilaginosa,Group_sub,0.2792,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.6574,-0.6051
s__lenta,Group_sub,0.7967,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.9126,-0.132
s__helveticus,Group_sub,0.2526,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,2.2781,1.1878
s__moorei,Group_sub,0.4073,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.5,-1
s__copri,Group_sub,0.322,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.7458,-0.4231
s__muciniphila,Group_sub,0.1217,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.2282,-2.1318
s__ovatus,Group_sub,0.1397,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,2.4465,1.2907
s__fragilis,Group_sub,0.4284,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,3.7093,1.8911
s__longicatena,Group_sub,0.2291,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,2.6568,1.4097
s__longum,Group_sub,0.9745,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.6383,-0.6476
s__adolescentis,Group_sub,0.8458,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.4167,-1.2629
s__animalis,Group_sub,0.1767,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.0703,-3.8301
s__C21_c20,Group_sub,0.0574,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.3952,-1.3395
s__D168,Group_sub,0.9224,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,2.0472,1.0337
s__parainfluenzae,Group_sub,0.9046,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,1.0225,0.0322
s__viridiflava,Group_sub,0.801,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.8213,-0.284
s__dispar,Group_sub,0.8425,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,1.1691,0.2254
s__aerofaciens,Group_sub,0.1552,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.5853,-0.7726
s__salivarius,Group_sub,0.6802,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.876,-0.1909
s__plebeius,Group_sub,0.7783,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,1.8964,0.9233
s__neonatale,Group_sub,0.5748,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.5316,-0.9115
s__producta,Group_sub,0.9224,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,1.819,0.8631
s__catus,Group_sub,0.0574,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.3688,-1.4391
s__callidus,Group_sub,0.1633,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,4.7059,2.2345
s__yabuuchiae,Group_sub,0.2203,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.6346,-0.656
s__bromii,Group_sub,0.6725,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,1.7893,0.8394
s__pullicaecorum,Group_sub,0.9307,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,7.9655,2.9938
s__zeae,Group_sub,1,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.5333,-0.9069
s__biforme,Group_sub,0.6932,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.7915,-0.3373
s__reuteri,Group_sub,0.0093,0.5121,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.1063,-3.2333
s__uniformis,Group_sub,0.5042,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,1.6289,0.7039
s__stercorea,Group_sub,0.6971,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,1.8581,0.8938
s__caccae,Group_sub,0.7868,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.9863,-0.02
s__formicigenerans,Group_sub,0.9483,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.9439,-0.0832
s__obeum,Group_sub,0.3846,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.5418,-0.8843
s__torques,Group_sub,0.5143,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.6759,-0.5651
s__eutactus,Group_sub,0.4346,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,1.9452,0.9599
s__rhizosphaerae,Group_sub,0.2429,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.4078,-1.294
s__parvula,Group_sub,0.4973,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.6898,-0.5356
s__palleronii,Group_sub,0.968,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,1.2376,0.3075
s__mucosae,Group_sub,0.5307,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.0424,-4.5607
s__putredinis,Group_sub,0.7324,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,1.3103,0.3899
s__citroniae,Group_sub,0.45,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,1.6392,0.713
s__breve,Group_sub,0.3081,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.4281,-1.224
s__bifidum,Group_sub,0.9611,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,1.7328,0.7931
s__colinum,Group_sub,0.3536,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_before_poor vs IBS_after_poor,0.7419,-0.4306
