feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC
__,Group_sub,0.181,0.905,IBS_after_poor,Wilcoxon rank sum exact test,IBS_after_great vs IBS_after_poor,0.8421,-0.2479
s__,Group_sub,0.6503,0.9571,IBS_after_poor,Wilcoxon rank sum exact test,IBS_after_great vs IBS_after_poor,0.8937,-0.1621
s__dolichum,Group_sub,0.7313,0.9571,IBS_after_great,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,3.7018,1.8882
s__ramosum,Group_sub,0.5144,0.9571,IBS_after_great,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,1.0312,0.0444
s__prausnitzii,Group_sub,0.8991,0.9808,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,0.9308,-0.1035
s__gnavus,Group_sub,0.755,0.9571,IBS_after_great,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,1.5663,0.6474
s__distasonis,Group_sub,0.2967,0.9571,IBS_after_great,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,1.388,0.473
s__formicilis,Group_sub,0.834,0.9571,IBS_after_great,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,1.2745,0.35
s__spiroforme,Group_sub,0.6636,0.9571,IBS_after_great,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,2.2955,1.1988
s__mucilaginosa,Group_sub,0.199,0.9185,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,0.6671,-0.5841
s__lenta,Group_sub,0.1795,0.905,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,0.4426,-1.1758
s__helveticus,Group_sub,0.5987,0.9571,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,0.4201,-1.2511
s__moorei,Group_sub,0.0396,0.689,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,0.001,-9.9658
s__copri,Group_sub,0.6845,0.9571,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,0.7676,-0.3817
s__muciniphila,Group_sub,0.6802,0.9571,IBS_after_great,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,1.0008,0.0011
s__ovatus,Group_sub,0.1651,0.905,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,0.8152,-0.2948
s__indistinctus,Group_sub,0.6932,0.9571,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,0.4859,-1.0413
s__fragilis,Group_sub,0.4284,0.9571,IBS_after_great,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,1.4728,0.5586
s__longicatena,Group_sub,0.5671,0.9571,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,0.4497,-1.153
s__longum,Group_sub,0.8238,0.9571,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,0.7754,-0.3669
s__adolescentis,Group_sub,0.4971,0.9571,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,0.7833,-0.3523
s__animalis,Group_sub,0.6926,0.9571,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,0.8984,-0.1545
s__C21_c20,Group_sub,0.6838,0.9571,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,0.7823,-0.3543
s__D168,Group_sub,0.6172,0.9571,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,0.2575,-1.9573
s__parainfluenzae,Group_sub,0.8946,0.9808,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,0.6751,-0.5669
s__viridiflava,Group_sub,0.7371,0.9571,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,0.8864,-0.1739
s__dispar,Group_sub,0.0489,0.689,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,0.2667,-1.9066
s__aerofaciens,Group_sub,0.5219,0.9571,IBS_after_great,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,2.4823,1.3117
s__salivarius,Group_sub,0.3536,0.9571,IBS_after_great,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,1.8347,0.8756
s__plebeius,Group_sub,0.1448,0.905,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,0.8655,-0.2083
s__producta,Group_sub,0.5827,0.9571,IBS_after_great,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,2.5948,1.3756
s__catus,Group_sub,0.36,0.9571,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,0.6525,-0.616
s__callidus,Group_sub,0.0574,0.689,IBS_after_great,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,2.7353,1.4517
s__yabuuchiae,Group_sub,0.3874,0.9571,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,0.3874,-1.3682
s__bromii,Group_sub,0.0919,0.905,IBS_after_great,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,3.1715,1.6651
s__pullicaecorum,Group_sub,1,1,IBS_after_poor,Wilcoxon rank sum test with continuity correction,IBS_after_great vs IBS_after_poor,0.5172,-0.9511
