feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC
__,Group,0.4843,0.8107,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,1.0572,0.0803
s__,Group,0.1006,0.4985,UC_after,Wilcoxon rank sum exact test,IBS_after vs UC_after,0.7148,-0.4844
s__dolichum,Group,0.6073,0.8702,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,1.2479,0.3195
s__ramosum,Group,0.0462,0.3962,UC_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,0.3714,-1.4291
s__prausnitzii,Group,0.9525,0.9941,UC_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,0.7888,-0.3423
s__gnavus,Group,0.1127,0.4985,UC_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,0.6272,-0.6729
s__distasonis,Group,0.6075,0.8702,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,1.1818,0.241
s__formicilis,Group,0.0206,0.3636,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,2.6325,1.3964
s__spiroforme,Group,0.2024,0.5241,UC_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,0.5334,-0.9068
s__mucilaginosa,Group,0.5782,0.8702,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,1.6181,0.6943
s__lenta,Group,0.2466,0.5942,UC_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,0.6094,-0.7146
s__helveticus,Group,0.1458,0.5073,UC_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,0.0684,-3.8701
s__moorei,Group,0.9219,0.9941,UC_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,0.848,-0.2379
s__copri,Group,0.1128,0.4985,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,5.901,2.561
s__muciniphila,Group,0.0012,0.0619,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,18.1508,4.182
s__ovatus,Group,0.9318,0.9941,UC_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,0.6295,-0.6678
s__fragilis,Group,0.5237,0.8163,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,1.8284,0.8706
s__longicatena,Group,0.1223,0.4985,UC_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,0.3415,-1.5502
s__longum,Group,0.2077,0.5241,UC_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,0.5765,-0.7946
s__adolescentis,Group,0.8955,0.9941,UC_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,0.5997,-0.7376
s__animalis,Group,0.8044,0.9941,UC_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,0.8156,-0.294
s__C21_c20,Group,0.2057,0.5241,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,1.7803,0.8321
s__D168,Group,0.6857,0.9086,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,1.2293,0.2979
s__parainfluenzae,Group,0.6267,0.8741,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,1.4703,0.5561
s__viridiflava,Group,0.4116,0.8107,UC_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,0.9641,-0.0527
s__dispar,Group,0.9545,0.9941,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,1.2115,0.2768
s__aerofaciens,Group,0.2606,0.6004,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,2.0104,1.0075
s__salivarius,Group,0.5168,0.8163,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,1.6158,0.6923
s__plebeius,Group,0.2832,0.6253,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,1.5459,0.6285
s__producta,Group,0.0098,0.2595,UC_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,0.1795,-2.4776
s__catus,Group,0.9235,0.9941,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,1.0849,0.1176
s__callidus,Group,0.1531,0.5073,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,2.5261,1.3369
s__yabuuchiae,Group,0.9941,0.9941,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,1.4375,0.5235
s__bromii,Group,0.0428,0.3962,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,2.4544,1.2954
s__pullicaecorum,Group,0.4751,0.8107,UC_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,0.2587,-1.9505
s__zeae,Group,0.72,0.9308,UC_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,0.2431,-2.0406
s__biforme,Group,0.9839,0.9941,UC_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,0.9548,-0.0667
s__reuteri,Group,0.6575,0.8935,UC_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,0.9541,-0.0679
s__uniformis,Group,0.8421,0.9941,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,1.1378,0.1863
s__caccae,Group,0.1409,0.5073,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,3.95,1.9819
s__formicigenerans,Group,0.1179,0.4985,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,1.2402,0.3105
s__obeum,Group,0.4527,0.8107,UC_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,0.4155,-1.2672
s__torques,Group,0.0523,0.3962,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,3.2933,1.7195
s__rhizosphaerae,Group,0.3636,0.7709,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,2.4301,1.281
s__parvula,Group,0.1165,0.4985,IBS_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,4.8417,2.2755
s__palleronii,Group,0.8577,0.9941,UC_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,0.8973,-0.1563
s__mucosae,Group,0.0285,0.3779,UC_after,Wilcoxon rank sum test with continuity correction,IBS_after vs UC_after,0.178,-2.4902
