feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC
__,Group_sub,0.6058,1,IBS_before_great,Wilcoxon rank sum exact test,IBS_before_great vs IBS_before_poor,1.1288,0.1748
s__,Group_sub,0.696,1,IBS_before_great,Wilcoxon rank sum exact test,IBS_before_great vs IBS_before_poor,1.0952,0.1311
s__dolichum,Group_sub,0.9611,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,2.5625,1.3576
s__ramosum,Group_sub,0.8842,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.6345,-0.6563
s__prausnitzii,Group_sub,0.4731,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,1.1567,0.21
s__gnavus,Group_sub,0.8725,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.8071,-0.3092
s__distasonis,Group_sub,0.6836,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.9666,-0.049
s__formicilis,Group_sub,0.884,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.9736,-0.0385
s__mucilaginosa,Group_sub,0.3577,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.9853,-0.0213
s__lenta,Group_sub,0.4832,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,1.024,0.0341
s__helveticus,Group_sub,0.1126,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.2182,-2.1964
s__moorei,Group_sub,0.9307,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,1.8,0.848
s__copri,Group_sub,0.9058,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,2.5067,1.3258
s__muciniphila,Group_sub,0.4243,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.5163,-0.9537
s__ovatus,Group_sub,0.9607,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.6188,-0.6923
s__indistinctus,Group_sub,0.8368,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.732,-0.4501
s__fragilis,Group_sub,0.3523,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.4668,-1.099
s__longicatena,Group_sub,0.5215,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.8575,-0.2219
s__dentocariosa,Group_sub,0.1338,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,36.4,5.1859
s__longum,Group_sub,0.8599,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.7797,-0.359
s__adolescentis,Group_sub,1,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,1.9827,0.9875
s__butyricum,Group_sub,0.7723,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.2026,-2.3033
s__C21_c20,Group_sub,0.0297,0.7124,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,4.9184,2.2982
s__D168,Group_sub,0.9611,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,3.4256,1.7763
s__parainfluenzae,Group_sub,0.8129,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.9027,-0.1476
s__viridiflava,Group_sub,0.2299,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,1.656,0.7277
s__dispar,Group_sub,0.5654,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,1.0154,0.0221
s__aerofaciens,Group_sub,0.2228,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,2.4498,1.2927
s__salivarius,Group_sub,0.0396,0.7124,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.001,-9.9658
s__plebeius,Group_sub,0.2512,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.334,-1.5819
s__neonatale,Group_sub,0.3535,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,2.6905,1.4279
s__producta,Group_sub,0.647,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,3.1232,1.643
s__callidus,Group_sub,0.5346,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,1.0031,0.0045
s__yabuuchiae,Group_sub,0.3828,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,1.3506,0.4337
s__bromii,Group_sub,0.9032,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.4857,-1.0418
s__pullicaecorum,Group_sub,0.9307,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.355,-1.4942
s__biforme,Group_sub,0.9611,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.6272,-0.6729
s__anginosus,Group_sub,1,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.966,-0.0499
s__uniformis,Group_sub,0.1609,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,1.5625,0.6438
s__stercorea,Group_sub,0.5365,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.1121,-3.1575
s__caccae,Group_sub,0.948,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,1.4819,0.5674
s__formicigenerans,Group_sub,0.5434,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.7665,-0.3837
s__obeum,Group_sub,0.9611,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,1.1674,0.2233
s__torques,Group_sub,0.3282,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,1.5174,0.6016
s__eutactus,Group_sub,0.086,0.9284,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.2105,-2.2479
s__hathewayi,Group_sub,0.9307,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.1854,-2.4313
s__rhizosphaerae,Group_sub,0.208,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,3.0137,1.5915
s__parvula,Group_sub,0.7125,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,1.188,0.2485
s__palleronii,Group_sub,0.3387,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,1.6582,0.7296
s__putredinis,Group_sub,0.0843,0.9284,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,3,1.585
s__citroniae,Group_sub,0.2948,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.3278,-1.6093
s__breve,Group_sub,0.3386,1,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,1.624,0.6996
s__bifidum,Group_sub,1,1,IBS_before_poor,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,0.5075,-0.9786
s__colinum,Group_sub,0.0082,0.4454,IBS_before_great,Wilcoxon rank sum test with continuity correction,IBS_before_great vs IBS_before_poor,11.5217,3.5263
