feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC
__,Group,0.0262,0.4793,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs UC_before,1.465,0.5509
s__,Group,0.6797,0.989,UC_before,Wilcoxon rank sum exact test,IBS_before vs UC_before,0.9018,-0.1491
s__dolichum,Group,0.6608,0.989,UC_before,Wilcoxon rank sum test with continuity correction,IBS_before vs UC_before,0.2982,-1.7458
s__ramosum,Group,0.7651,0.989,UC_before,Wilcoxon rank sum test with continuity correction,IBS_before vs UC_before,0.5701,-0.8107
s__prausnitzii,Group,0.8475,0.989,UC_before,Wilcoxon rank sum test with continuity correction,IBS_before vs UC_before,0.8657,-0.208
s__gnavus,Group,0.7137,0.989,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs UC_before,1.104,0.1428
s__distasonis,Group,0.8527,0.989,UC_before,Wilcoxon rank sum test with continuity correction,IBS_before vs UC_before,0.6261,-0.6755
s__formicilis,Group,0.068,0.4793,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs UC_before,1.7514,0.8085
s__spiroforme,Group,0.1379,0.5568,UC_before,Wilcoxon rank sum test with continuity correction,IBS_before vs UC_before,0.2172,-2.2031
s__mucilaginosa,Group,0.1465,0.5568,UC_before,Wilcoxon rank sum test with continuity correction,IBS_before vs UC_before,0.5605,-0.8352
s__lenta,Group,0.8018,0.989,UC_before,Wilcoxon rank sum test with continuity correction,IBS_before vs UC_before,0.5381,-0.8941
s__helveticus,Group,0.978,0.989,UC_before,Wilcoxon rank sum test with continuity correction,IBS_before vs UC_before,0.0715,-3.8065
s__moorei,Group,0.7814,0.989,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs UC_before,1.0491,0.0691
s__copri,Group,0.0667,0.4793,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs UC_before,5.25,2.3923
s__muciniphila,Group,0.7606,0.989,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs UC_before,1.972,0.9797
s__ovatus,Group,0.9724,0.989,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs UC_before,1.0362,0.0513
s__indistinctus,Group,0.0133,0.4793,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs UC_before,1000,9.9658
s__fragilis,Group,0.6446,0.989,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs UC_before,1.254,0.3265
s__longicatena,Group,0.6224,0.989,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs UC_before,1.2215,0.2887
s__longum,Group,0.0934,0.4839,UC_before,Wilcoxon rank sum test with continuity correction,IBS_before vs UC_before,0.505,-0.9856
s__adolescentis,Group,0.5378,0.989,UC_before,Wilcoxon rank sum test with continuity correction,IBS_before vs UC_before,0.7235,-0.4669
s__butyricum,Group,0.3907,0.8566,IBS_before,Wilcoxon rank sum test with continuity correction,IBS_before vs UC_before,1.8194,0.8634
