feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC
__,Group_sub,0.2875,0.8625,UC_after_poor,Wilcoxon rank sum exact test,UC_after_great vs UC_after_poor,0.9457,-0.0805
s__,Group_sub,0.4231,0.9458,UC_after_great,Wilcoxon rank sum exact test,UC_after_great vs UC_after_poor,1.3875,0.4725
s__dolichum,Group_sub,0.4834,0.9609,UC_after_poor,Wilcoxon rank sum test with continuity correction,UC_after_great vs UC_after_poor,0.9668,-0.0488
s__ramosum,Group_sub,0.1074,0.8625,UC_after_great,Wilcoxon rank sum test with continuity correction,UC_after_great vs UC_after_poor,1.9233,0.9436
s__prausnitzii,Group_sub,0.2258,0.8625,UC_after_great,Wilcoxon rank sum test with continuity correction,UC_after_great vs UC_after_poor,2.0342,1.0245
s__gnavus,Group_sub,0.1695,0.8625,UC_after_great,Wilcoxon rank sum test with continuity correction,UC_after_great vs UC_after_poor,1.5673,0.6483
s__distasonis,Group_sub,0.2801,0.8625,UC_after_poor,Wilcoxon rank sum test with continuity correction,UC_after_great vs UC_after_poor,0.7441,-0.4264
s__formicilis,Group_sub,0.1478,0.8625,UC_after_poor,Wilcoxon rank sum test with continuity correction,UC_after_great vs UC_after_poor,0.4224,-1.2433
s__mucilaginosa,Group_sub,0.267,0.8625,UC_after_poor,Wilcoxon rank sum test with continuity correction,UC_after_great vs UC_after_poor,0.8612,-0.2157
s__lenta,Group_sub,0.239,0.8625,UC_after_poor,Wilcoxon rank sum test with continuity correction,UC_after_great vs UC_after_poor,0.4478,-1.1591
s__helveticus,Group_sub,0.2538,0.8625,UC_after_great,Wilcoxon rank sum test with continuity correction,UC_after_great vs UC_after_poor,1.1096,0.1501
s__moorei,Group_sub,0.6483,0.9609,UC_after_great,Wilcoxon rank sum test with continuity correction,UC_after_great vs UC_after_poor,9.4792,3.2448
s__copri,Group_sub,0.8098,0.9609,UC_after_poor,Wilcoxon rank sum test with continuity correction,UC_after_great vs UC_after_poor,0.0965,-3.3729
s__muciniphila,Group_sub,0.8252,0.9609,UC_after_great,Wilcoxon rank sum test with continuity correction,UC_after_great vs UC_after_poor,1.0946,0.1304
s__ovatus,Group_sub,0.447,0.9458,UC_after_poor,Wilcoxon rank sum test with continuity correction,UC_after_great vs UC_after_poor,0.5171,-0.9515
s__fragilis,Group_sub,0.5969,0.9609,UC_after_great,Wilcoxon rank sum test with continuity correction,UC_after_great vs UC_after_poor,1.7294,0.7902
s__longicatena,Group_sub,0.4534,0.9458,UC_after_great,Wilcoxon rank sum test with continuity correction,UC_after_great vs UC_after_poor,1.1525,0.2047
s__longum,Group_sub,0.1939,0.8625,UC_after_great,Wilcoxon rank sum test with continuity correction,UC_after_great vs UC_after_poor,1.2472,0.3187
s__adolescentis,Group_sub,0.7303,0.9609,UC_after_great,Wilcoxon rank sum test with continuity correction,UC_after_great vs UC_after_poor,2.3106,1.2082
s__animalis,Group_sub,0.2423,0.8625,UC_after_poor,Wilcoxon rank sum test with continuity correction,UC_after_great vs UC_after_poor,0.4875,-1.0365
s__C21_c20,Group_sub,0.2574,0.8625,UC_after_great,Wilcoxon rank sum test with continuity correction,UC_after_great vs UC_after_poor,3.0565,1.6119
s__D168,Group_sub,0.4069,0.9458,UC_after_poor,Wilcoxon rank sum test with continuity correction,UC_after_great vs UC_after_poor,0.059,-4.0829
s__parainfluenzae,Group_sub,0.6924,0.9609,UC_after_poor,Wilcoxon rank sum test with continuity correction,UC_after_great vs UC_after_poor,0.8055,-0.3121
