feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC
__,Group_sub,0.6451,1,UC_before_poor,Wilcoxon rank sum test with continuity correction,UC_before_great vs UC_before_poor,0.799,-0.3237
s__,Group_sub,0.6501,1,UC_before_poor,Wilcoxon rank sum exact test,UC_before_great vs UC_before_poor,0.9849,-0.022
s__dolichum,Group_sub,0.7805,1,UC_before_poor,Wilcoxon rank sum test with continuity correction,UC_before_great vs UC_before_poor,0.802,-0.3183
s__ramosum,Group_sub,0.7595,1,UC_before_great,Wilcoxon rank sum test with continuity correction,UC_before_great vs UC_before_poor,1.4486,0.5346
s__prausnitzii,Group_sub,0.153,1,UC_before_poor,Wilcoxon rank sum test with continuity correction,UC_before_great vs UC_before_poor,0.686,-0.5437
s__gnavus,Group_sub,0.4396,1,UC_before_poor,Wilcoxon rank sum test with continuity correction,UC_before_great vs UC_before_poor,0.7565,-0.4027
s__distasonis,Group_sub,0.5147,1,UC_before_great,Wilcoxon rank sum test with continuity correction,UC_before_great vs UC_before_poor,1.181,0.24
s__formicilis,Group_sub,0.5164,1,UC_before_poor,Wilcoxon rank sum test with continuity correction,UC_before_great vs UC_before_poor,0.7659,-0.3848
s__spiroforme,Group_sub,0.7899,1,UC_before_great,Wilcoxon rank sum test with continuity correction,UC_before_great vs UC_before_poor,1.5701,0.6509
s__mucilaginosa,Group_sub,0.7035,1,UC_before_great,Wilcoxon rank sum test with continuity correction,UC_before_great vs UC_before_poor,1.1616,0.2161
s__lenta,Group_sub,0.8893,1,UC_before_great,Wilcoxon rank sum test with continuity correction,UC_before_great vs UC_before_poor,1.2851,0.3619
s__helveticus,Group_sub,0.7334,1,UC_before_poor,Wilcoxon rank sum test with continuity correction,UC_before_great vs UC_before_poor,0.0383,-4.7062
s__moorei,Group_sub,0.4872,1,UC_before_poor,Wilcoxon rank sum test with continuity correction,UC_before_great vs UC_before_poor,0.7065,-0.5012
s__copri,Group_sub,0.6233,1,UC_before_poor,Wilcoxon rank sum test with continuity correction,UC_before_great vs UC_before_poor,0.141,-2.8258
s__muciniphila,Group_sub,0.1279,1,UC_before_great,Wilcoxon rank sum test with continuity correction,UC_before_great vs UC_before_poor,2.8952,1.5337
s__ovatus,Group_sub,0.8889,1,UC_before_great,Wilcoxon rank sum test with continuity correction,UC_before_great vs UC_before_poor,1.2715,0.3465
s__fragilis,Group_sub,0.462,1,UC_before_great,Wilcoxon rank sum test with continuity correction,UC_before_great vs UC_before_poor,2.0183,1.0131
s__longicatena,Group_sub,0.522,1,UC_before_great,Wilcoxon rank sum test with continuity correction,UC_before_great vs UC_before_poor,2.1275,1.0891
