feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC
__,Group,0.8398,0.9255,UC_after,Wilcoxon rank sum test with continuity correction,UC_before vs UC_after,0.8861,-0.1744
s__,Group,0.3535,0.8672,UC_after,Wilcoxon rank sum exact test,UC_before vs UC_after,0.8099,-0.3042
s__dolichum,Group,0.7655,0.9002,UC_before,Wilcoxon rank sum test with continuity correction,UC_before vs UC_after,1.7803,0.8322
s__ramosum,Group,0.2474,0.8383,UC_after,Wilcoxon rank sum test with continuity correction,UC_before vs UC_after,0.8067,-0.3098
s__prausnitzii,Group,0.7669,0.9002,UC_after,Wilcoxon rank sum test with continuity correction,UC_before vs UC_after,0.8542,-0.2273
s__gnavus,Group,0.6491,0.9002,UC_before,Wilcoxon rank sum test with continuity correction,UC_before vs UC_after,1.3639,0.4477
s__distasonis,Group,0.9935,1,UC_before,Wilcoxon rank sum test with continuity correction,UC_before vs UC_after,1.5168,0.601
s__formicilis,Group,0.8363,0.9255,UC_before,Wilcoxon rank sum test with continuity correction,UC_before vs UC_after,1.0747,0.1039
s__spiroforme,Group,0.2484,0.8383,UC_before,Wilcoxon rank sum test with continuity correction,UC_before vs UC_after,1.9817,0.9868
s__mucilaginosa,Group,0.0247,0.3338,UC_before,Wilcoxon rank sum test with continuity correction,UC_before vs UC_after,2.2602,1.1764
s__lenta,Group,0.4973,0.9002,UC_before,Wilcoxon rank sum test with continuity correction,UC_before vs UC_after,1.4499,0.5359
s__helveticus,Group,0.5689,0.9002,UC_before,Wilcoxon rank sum test with continuity correction,UC_before vs UC_after,1.8698,0.9029
s__moorei,Group,0.7312,0.9002,UC_before,Wilcoxon rank sum test with continuity correction,UC_before vs UC_after,1.1316,0.1783
s__copri,Group,0.5262,0.9002,UC_before,Wilcoxon rank sum test with continuity correction,UC_before vs UC_after,1.6631,0.7339
s__muciniphila,Group,0.2187,0.8383,UC_before,Wilcoxon rank sum test with continuity correction,UC_before vs UC_after,1.5916,0.6705
s__ovatus,Group,0.3272,0.8672,UC_before,Wilcoxon rank sum test with continuity correction,UC_before vs UC_after,1.3254,0.4065
