primary,PC1,PC2,PC3
J_XYL_F_0001_01,-0.0505,0.0696,0.0078
J_XYL_F_0001_02,-0.1453,0.1779,0.0188
J_XYL_F_0002_01,-0.0624,-0.0246,0.0171
J_XYL_F_0002_02,-0.0956,-0.0546,-0.0196
J_XYL_F_0003_01,-0.0577,-0.0184,-0.0043
J_XYL_F_0003_02,-0.0741,-0.0209,-0.4233
J_XYL_F_0004_01,-0.0756,-0.0514,0.0236
J_XYL_F_0004_02,-0.0757,-0.0516,0.0327
J_XYL_F_0005_01,-0.0509,-0.0335,0.0126
J_XYL_F_0005_02,-0.0774,0.0219,0.0036
J_XYL_F_0006_01,-0.0765,-0.0376,0.0241
J_XYL_F_0006_02,-0.0381,0.0032,-0.0119
J_XYL_F_0010_01,-0.0995,-0.0111,0.0177
J_XYL_F_0010_02,-0.1194,-0.1,0.0345
J_XYL_F_0012_01,-0.0562,-0.0003,-0.4244
J_XYL_F_0012_02,-0.0363,-0.0092,-0.3662
J_XYL_F_0013_01,-0.0818,-0.0399,0.013
J_XYL_F_0013_02,-0.1274,-0.0932,0.0366
J_XYL_F_0015_01,-0.0566,0.0364,0.0042
J_XYL_F_0015_02,-0.0359,-0.0022,-0.0281
J_XYL_F_0016_01,-0.0571,0.0543,-0.0153
J_XYL_F_0016_02,-0.0501,0.0023,0.0063
J_XYL_F_0018_01,-0.0968,-0.047,0.0171
J_XYL_F_0018_02,-0.0195,-0.0187,0.0062
J_XYL_F_0020_01,-0.0978,-0.0684,0.0294
J_XYL_F_0020_02,-0.0483,0.0324,0.0054
J_XYL_F_0025_01,-0.058,0.0378,0.0105
J_XYL_F_0025_02,-0.0891,0.0322,0.017
J_XYL_F_0031_01,-0.1226,-0.1033,0.036
J_XYL_F_0031_02,-0.0924,-0.0526,0.0293
J_XYL_F_0032_01,-0.0416,-0.0006,0.01
J_XYL_F_0032_02,-0.0738,-0.0177,0.0199
J_XYL_F_0034_01,-0.0928,0.014,0.0216
J_XYL_F_0034_02,-0.1087,0.1569,0.0127
J_XYL_F_0036_01,-0.067,0.0087,0.0128
J_XYL_F_0036_02,-0.0385,0.0005,0.0102
J_XYL_F_0043_01,-0.1079,-0.0321,0.0295
J_XYL_F_0043_2,-0.0377,0.0048,0.006
J_XYL_F_0044_01,-0.0828,-0.0197,0.0242
J_XYL_F_0044_02,-0.0708,0.0237,0.0173
J_XYL_F_0045_01,-0.1021,0.2216,0.0039
J_XYL_F_0045_2,-0.1519,0.3552,0.0013
J_XYL_F_0046_01,-0.0682,-0.0251,0.0125
J_XYL_F_0046_02,-0.0961,0.0165,0.0226
J_XYL_F_0047_01,-0.1116,0.0514,0.0257
J_XYL_F_0047_02,-0.0814,0.0033,0.0198
J_XYL_F_0048_01,-0.0972,0.214,0.0079
J_XYL_F_0049_02,-0.077,0.0305,0.0154
J_XYL_F_0050_01,-0.1115,0.1924,0.0087
J_XYL_F_0050_02,-0.0123,0.0346,0.0003
J_XYL_F_0051_01,-0.1169,0.1817,0.0161
J_XYL_F_0051_02,-0.0519,-0.0521,0.0077
J_XYL_F_0053_01,-0.0923,-0.0286,-0.0982
J_XYL_F_0053_02,-0.0577,-0.0259,-0.0471
J_XYL_F_0057_01,-0.0583,0.0629,0.0106
J_XYL_F_0057_02,-0.0725,0.0171,0.0066
J_XYL_F_0058_01,-0.0871,0.1302,0.0108
J_XYL_F_0058_02,-0.071,-0.014,0.019
J_XYL_F_0059_01,-0.0698,-0.0326,0.0147
J_XYL_F_0059_02,-0.0852,-0.0256,0.0011
J_XYL_F_0060_01,-0.0586,0.0169,0.0116
J_XYL_F_0060_02,-0.1168,-0.0835,0.0392
J_XYL_F_0061_01,-0.0858,-0.0851,0.0305
J_XYL_F_0061_02,-0.0489,-0.0395,0.0165
J_XYL_F_0062_01,-0.0866,-0.0614,-0.0084
J_XYL_F_0062_02,-0.0845,-0.0599,-0.0069
J_XYL_F_0064_01,-0.1399,0.2435,0.0128
J_XYL_F_0064_02,-0.0762,0.1123,0.0096
J_XYL_F_0065_01,-0.1026,-0.036,-0.0214
J_XYL_F_0065_02,-0.0863,-0.0374,0.0252
J_XYL_F_0066_01,-0.0452,0.0419,0.0018
J_XYL_F_0066_02,-0.066,-0.0309,0.028
K_XYL_F_0001_01,-0.0674,0.0703,0.0125
K_XYL_F_0001_02,-0.2336,-0.1501,0.0774
K_XYL_F_0002_01,-0.1405,0.2767,0.0136
K_XYL_F_0002_02,-0.1449,-0.0268,0.042
K_XYL_F_0003_01,-0.0292,-0.0084,0.0072
K_XYL_F_0003_02,-0.1108,0.2062,-0.0045
K_XYL_F_0004_01,-0.0778,0.0915,0.0131
K_XYL_F_0004_02,-0.1565,0.175,0.0274
K_XYL_F_0005_01,-0.0336,-0.0022,0.009
K_XYL_F_0005_02,-0.1019,-0.1148,0.0352
K_XYL_F_0007_01,-0.0799,0.0331,0.0179
K_XYL_F_0007_02,-0.0837,0.0049,0.0157
K_XYL_F_0008_01,-0.0527,0.0131,0.0066
K_XYL_F_0008_02,-0.0591,0.072,-0.0045
K_XYL_F_0009_01,-0.0407,-0.0223,-0.0007
K_XYL_F_0009_02,-0.0826,-0.0148,0.0078
K_XYL_F_0011_01,-0.0596,-0.0113,0.0125
K_XYL_F_0011_02,-0.066,-0.0508,0.0003
K_XYL_F_0012_01,-0.0825,-0.0505,0.0131
K_XYL_F_0012_02,-0.0575,-0.0325,-0.3151
K_XYL_F_0013_01,-0.0548,0.0898,0.0038
K_XYL_F_0013_02,-0.0636,-0.0326,-0.2277
K_XYL_F_0017_01,-0.1297,-0.0771,0.0331
K_XYL_F_0017_02,-0.099,0.0389,0.0223
K_XYL_F_0018_01,-0.0691,-0.036,-0.0028
K_XYL_F_0018_02,-0.0666,0.0044,0.0147
K_XYL_F_0022_01,-0.071,-0.0658,0.025
K_XYL_F_0022_02,-0.0509,-0.0158,-0.2558
K_XYL_F_0028_01,-0.0402,-0.0161,0.0115
K_XYL_F_0028_02,-0.0544,-0.0525,0.0193
K_XYL_F_0030_02,-0.0313,-0.0104,0.0022
K_XYL_F_0030_03,-0.1433,-0.1838,0.0548
K_XYL_F_0033_01,-0.0853,-0.0924,-0.0388
K_XYL_F_0033_02,-0.1074,-0.0995,-0.0621
