primary,PCoA1,PCoA2,PCoA3
J_XYL_F_0001_01,-0.3242,0.0149,0.1136
J_XYL_F_0001_02,-0.2078,0.2364,-0.1605
J_XYL_F_0002_01,0.1003,-0.0442,0.1095
J_XYL_F_0002_02,0.1794,0.0394,-0.0808
J_XYL_F_0003_01,0.0677,-0.1024,0.0896
J_XYL_F_0003_02,0.0435,-0.2565,-0.2989
J_XYL_F_0004_01,0.1875,0.037,0.0592
J_XYL_F_0004_02,0.1635,0.0444,0.0032
J_XYL_F_0005_01,0.0789,-0.1404,0.1336
J_XYL_F_0005_02,-0.0464,0.0293,0.0102
J_XYL_F_0006_01,0.122,0.0587,0.0979
J_XYL_F_0006_02,-0.0895,-0.2198,0.1674
J_XYL_F_0010_01,0.046,0.1335,-0.002
J_XYL_F_0010_02,0.239,0.1341,-0.0292
J_XYL_F_0012_01,-0.0634,-0.342,-0.2975
J_XYL_F_0012_02,-0.0283,-0.4565,-0.3606
J_XYL_F_0013_01,0.127,0.0359,0.0631
J_XYL_F_0013_02,0.1828,0.1915,-0.0343
J_XYL_F_0015_01,-0.1738,-0.0651,0.1267
J_XYL_F_0015_02,-0.0649,-0.2726,0.1161
J_XYL_F_0016_01,-0.1943,-0.0687,0.0561
J_XYL_F_0016_02,-0.064,-0.0975,0.1392
J_XYL_F_0018_01,0.1457,0.0858,-0.0022
J_XYL_F_0018_02,-0.0589,-0.2593,0.227
J_XYL_F_0020_01,0.2125,0.0827,0.0303
J_XYL_F_0020_02,-0.1641,-0.0871,0.1347
J_XYL_F_0025_01,-0.1534,-0.0322,0.1051
J_XYL_F_0025_02,-0.0644,0.102,-0.0138
J_XYL_F_0031_01,0.2115,0.1408,-0.0314
J_XYL_F_0031_02,0.1508,0.1042,0.0297
J_XYL_F_0032_01,-0.0354,-0.1604,0.1512
J_XYL_F_0032_02,0.0735,0.0319,0.0599
J_XYL_F_0034_01,-0.0114,0.1265,-0.0054
J_XYL_F_0034_02,-0.2864,0.1099,-0.0905
J_XYL_F_0036_01,-0.0308,-0.034,0.1118
J_XYL_F_0036_02,-0.0708,-0.2019,0.2301
J_XYL_F_0043_01,0.0921,0.1545,-0.0266
J_XYL_F_0043_2,-0.0638,-0.1921,0.1895
J_XYL_F_0044_01,0.0511,0.0975,0.0955
J_XYL_F_0044_02,-0.1038,0.0459,0.0908
J_XYL_F_0045_01,-0.4658,0.1358,-0.1286
J_XYL_F_0045_2,-0.4266,0.1391,-0.2001
J_XYL_F_0046_01,0.0905,-0.0261,0.0864
J_XYL_F_0046_02,-0.0169,0.1321,-0.0054
