"taxon","mean_a","mean_b","log2FC","prevalence_a","prevalence_b","p","fdr","vs"
"Clostridium colinum",0.002535,0.0003657,-2.79,0.444,0.056,0.009319,0.718,"IBS_before_great vs IBS_before_poor"
"unclassified f:Clostridiaceae",0.00289,0.0005297,-2.446,0.556,0.167,0.01056,0.718,"IBS_before_great vs IBS_before_poor"
"Blautia",0.01626,0.007397,-1.136,0.833,0.5,0.02403,0.9052,"IBS_before_great vs IBS_before_poor"
"Desulfovibrio C21_c20",0.001253,0.0002454,-2.348,0.389,0.056,0.02662,0.9052,"IBS_before_great vs IBS_before_poor"
"Lactobacillus salivarius",0,0.0005951,9.219,0,0.222,0.03958,0.9429,"IBS_before_great vs IBS_before_poor"
"unclassified c:TM7-3",0.0005721,5.405e-05,-3.38,0.333,0.056,0.0416,0.9429,"IBS_before_great vs IBS_before_poor"
"Turicibacter",0.002593,0.0004853,-2.415,0.389,0.111,0.06413,1,"IBS_before_great vs IBS_before_poor"
"Alistipes putredinis",0.006765,0.002701,-1.324,0.389,0.111,0.08426,1,"IBS_before_great vs IBS_before_poor"
"Lactobacillus helveticus",0.0003822,0.002285,2.577,0.111,0.333,0.09421,1,"IBS_before_great vs IBS_before_poor"
"Coprococcus eutactus",0.0008652,0.004081,2.236,0.111,0.333,0.09421,1,"IBS_before_great vs IBS_before_poor"
"Clostridium",0.01231,0.006365,-0.952,0.722,0.5,0.09631,1,"IBS_before_great vs IBS_before_poor"
"Streptococcus",0.02588,0.01966,-0.397,0.889,0.556,0.1063,1,"IBS_before_great vs IBS_before_poor"
"__ __.12",0.003865,0.001243,-1.636,0.389,0.167,0.1492,1,"IBS_before_great vs IBS_before_poor"
"unclassified f:Chitinophagaceae",0.000773,0.000417,-0.889,0.333,0.111,0.1577,1,"IBS_before_great vs IBS_before_poor"
"Bifidobacterium animalis",0,4.03e-05,5.368,0,0.111,0.1632,1,"IBS_before_great vs IBS_before_poor"
"__ __.9",0.0005216,0.0001685,-1.624,0.222,0.056,0.1633,1,"IBS_before_great vs IBS_before_poor"
"Bacteroides uniformis",0.0108,0.007742,-0.48,0.722,0.5,0.1708,1,"IBS_before_great vs IBS_before_poor"
"unclassified f:S24-7",0.0005418,0.001081,0.996,0.333,0.556,0.1809,1,"IBS_before_great vs IBS_before_poor"
"Ruminococcus __",0.0003979,0.007751,4.28,0.111,0.278,0.1919,1,"IBS_before_great vs IBS_before_poor"
"Acinetobacter rhizosphaerae",0.001193,0.0003003,-1.987,0.278,0.111,0.1919,1,"IBS_before_great vs IBS_before_poor"
"Granulicatella",0.003363,0.002025,-0.731,0.556,0.333,0.1925,1,"IBS_before_great vs IBS_before_poor"
"Bacteroides plebeius",0.003105,0.01186,1.933,0.389,0.556,0.199,1,"IBS_before_great vs IBS_before_poor"
"Catenibacterium",0.005109,0.0174,1.767,0.111,0.278,0.225,1,"IBS_before_great vs IBS_before_poor"
"Roseburia __",0.01279,0.02325,0.863,0.667,0.833,0.2577,1,"IBS_before_great vs IBS_before_poor"
"Collinsella aerofaciens",0.01036,0.004,-1.373,0.5,0.333,0.2657,1,"IBS_before_great vs IBS_before_poor"
"Phascolarctobacterium",0.009959,0.008981,-0.149,0.667,0.444,0.2672,1,"IBS_before_great vs IBS_before_poor"
"__ __.4",0.001052,7.371e-05,-3.817,0.167,0.056,0.2707,1,"IBS_before_great vs IBS_before_poor"
"Hydrogenophaga palleronii",0.004205,0.002182,-0.946,0.444,0.278,0.2778,1,"IBS_before_great vs IBS_before_poor"
"unclassified f:Gemellaceae",0.0003154,0.0004627,0.551,0.111,0.278,0.2819,1,"IBS_before_great vs IBS_before_poor"
