"item","value"
"input table","16S_level-7_mapped130.csv (132-sample file restricted to the 130 samples that have metadata)"
"samples (with metadata)","130"
"taxa (level 7, as provided)","470"
"taxa retained (prevalence >= 10%)","136"
"reads per sample (median)","10197"
"reads per sample (min / max)","1624 / 20283"
"rarefaction depth used","1624"
"Shannon (median, all samples)","2.719"
"Shannon IBS_before / IBS_after","3.065 / 3.009"
"Shannon UC_before / UC_after","2.86 / 2.391"
"PERMANOVA ~ Group (R2, p)","0.047, 0.001"
"PERMANOVA ~ Group + response (Group R2, p)","0.053, 0.002"
"baseline IBS great vs poor (PERMANOVA R2, p)","0.017, 0.868"
"baseline UC great vs poor (PERMANOVA R2, p)","0.021, 0.978"
"dispersion test (Group, F, p)","0.86, 0.449"
"differential taxa fdr<0.05 (baseline great vs poor, IBS / UC)","0 / 0"
